phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,56597,61471,"1",,,,,,
1,61472,62355,"2",,,,,,
2,62356,63443,"3",,,,,,
3,63444,65348,"4",,,,,,
4,75349,80171,"1",,,,,,
5,80172,81089,"2",,,,,,
6,81090,83299,"3",,,,,,
7,83300,84286,"4",,,,,,
8,94902,99891,"1",,,,,,
9,99892,100707,"2",,,,,,
10,100708,103257,"3",,,,,,
11,103258,104822,"4",,,,,,
12,114422,119679,"1",,,,,,
13,119680,120495,"2",,,,,,
14,120496,124031,"3",,,,,,
15,124032,125426,"4",,,,,,
