phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,40715,45559,"1",,,,,,
1,45560,46545,"2",,,,,,
2,46546,47225,"3",,,,,,
3,47226,50877,"4",,,,,,
4,58800,63885,"1",,,,,,
5,63886,65210,"2",,,,,,
6,65211,66061,"3",,,,,,
7,66062,75143,"4",,,,,,
8,82924,88127,"1",,,,,,
9,88128,89113,"2",,,,,,
10,89114,89113,"3",,,,,,
11,89114,104618,"4",,,,,,
12,112988,118115,"1",,,,,,
13,118116,119101,"2",,,,,,
14,119102,119237,"3",,,,,,
15,119238,122978,"4",,,,,,
