phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,27806,31756,1,1,32110,0,1,0
2,31756,32604,2,2,32604,0,0,0
3,32605,34067,3,3,32604,0,0,0
4,34068,34714,4,4,34714,0,0,0
5,42854,47192,1,5,47327,0,1,0
6,47192,48143,2,6,48143,0,0,0
7,48144,52053,3,7,52053,0,0,0
8,52054,53634,4,8,53634,0,2,0
9,60639,64736,1,9,64909,0,2,0
10,64736,65551,2,10,65551,0,0,0
11,65552,67625,3,11,67625,0,0,0
12,67626,68374,4,12,68374,0,0,0
13,75654,80750,1,13,80891,0,1,0
14,80750,81633,2,14,81633,0,0,0
15,81634,83231,3,15,83231,0,0,0
16,83232,84558,4,16,84558,0,0,0
17,92170,96628,1,17,96740,0,2,0
18,96628,97239,2,18,97239,0,0,0
19,97240,99212,3,19,99443,0,0,0
20,99212,100157,4,20,100157,0,0,0
21,108487,113090,1,21,113090,0,2,0
22,113091,113967,2,22,113967,0,0,0
23,113968,118863,3,23,118863,0,1,0
24,118864,120044,4,24,120044,0,1,0
25,130542,134878,1,25,134745,0,1,0
26,134878,135761,2,26,135761,0,0,0
27,135762,137767,3,27,137767,0,0,0
28,137768,138346,4,28,138346,0,0,0
29,148326,152422,1,29,152530,0,1,0
30,152422,153305,2,30,153305,0,1,0
31,153306,155447,3,31,155447,0,0,0
32,155448,156264,4,32,156264,0,0,0
33,165176,169388,1,33,169446,0,1,0
34,169388,170204,2,34,170237,0,0,0
35,170204,172243,3,35,172243,0,0,0
36,172244,172924,4,36,172924,0,0,0
37,182827,187102,1,37,187331,0,0,0
38,187102,188121,2,38,187331,0,0,0
39,188122,191657,3,39,191657,0,0,0
40,191658,193154,4,40,193154,0,1,0
41,201912,206414,1,41,206283,0,0,0
42,206414,207297,2,42,207297,0,0,0
43,207298,209371,3,43,209371,0,0,0
44,209372,210120,4,44,210120,0,0,0
45,219698,223901,1,45,223901,0,0,0
46,223902,224671,2,46,224671,0,0,0
47,224672,226971,3,47,226971,0,0,0
48,226972,228140,4,48,228140,0,0,0
