phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,46971,52801,1,1,52801,0,3,0
2,52802,53617,2,2,53617,0,0,0
3,53618,53923,3,3,53923,0,0,0
4,53924,56406,4,4,56406,0,0,0
5,64456,72623,1,5,72623,0,2,0
6,72624,73405,2,6,73405,0,0,0
7,73406,75921,3,7,75921,0,0,0
8,75922,78438,4,8,78438,0,2,0
9,89447,94179,1,9,94179,0,3,0
10,94180,94927,2,10,94927,0,1,0
11,94928,95539,3,11,95539,0,0,0
12,95540,97478,4,12,97478,0,0,0
13,106297,112879,1,13,112879,0,1,1
14,112880,114103,2,14,114103,0,0,1
15,114104,114171,3,15,114171,0,0,0
16,114172,116586,4,16,114415,0,0,0
17,126718,131749,1,17,131749,0,2,0
18,131750,132361,2,18,132361,0,0,0
19,132362,132701,3,19,132701,0,0,0
20,132702,134844,4,20,134844,0,0,0
21,142734,147671,1,21,147671,0,1,0
22,147672,148681,2,22,148681,0,0,0
23,148682,148987,3,23,148987,0,0,0
24,148988,151989,4,24,151989,0,0,0
25,161452,165987,1,25,165987,0,2,0
26,165988,166769,2,26,166769,0,0,0
27,166770,166973,3,27,166973,0,0,0
28,166974,169320,4,28,169320,0,0,0
29,177635,182137,1,29,182137,0,1,0
30,182138,183089,2,30,183089,0,0,0
31,183090,183395,3,31,183395,0,0,0
32,183396,185810,4,32,185810,0,0,0
33,197322,201721,1,33,201721,0,3,0
34,201722,202333,2,34,202333,0,1,0
35,202334,202775,3,35,202775,0,0,0
36,202776,204782,4,36,204782,0,0,0
37,212804,217599,1,37,216512,0,2,1
38,217600,218687,2,38,218687,0,1,0
39,218688,218959,3,39,218959,0,0,0
40,218960,221612,4,40,221612,0,0,0
41,232390,237194,1,41,237194,0,1,0
42,237195,237931,2,42,237931,0,0,0
43,237932,238305,3,43,238305,0,0,0
44,238306,240244,4,44,238918,0,0,0
45,248840,253503,1,45,253503,0,0,0
46,253504,254353,2,46,254353,0,0,0
47,254354,254523,3,47,254523,0,0,0
48,254524,257006,4,48,254524,0,0,0
