phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,51794,57493,1,1,57493,0,2,0
2,57494,58105,2,2,58105,0,0,0
3,58106,58751,3,3,58751,0,0,0
4,58752,61914,4,4,58752,0,0,0
5,72682,78777,1,5,78777,0,2,0
6,78778,79831,2,6,79831,0,0,0
7,79832,79899,3,7,79899,0,0,0
8,79900,83946,4,8,79900,0,0,0
9,97039,102645,1,9,102645,0,1,0
10,102646,103325,2,10,103325,0,0,0
11,103326,103699,3,11,103699,0,0,0
12,103700,106420,4,12,106420,0,1,0
13,116959,124303,1,13,124303,0,1,0
14,124304,125187,2,14,124950,0,0,0
15,125188,125595,3,15,125595,0,0,0
16,125596,131546,4,16,131988,0,0,0
17,145554,150891,1,17,150891,0,2,0
18,150892,151571,2,18,151571,0,0,0
19,151572,151843,3,19,151843,0,0,0
20,151844,155040,4,20,155040,0,0,0
21,170880,176289,1,21,176289,0,2,0
22,176290,177309,2,22,177309,0,0,0
23,177310,177343,3,23,177343,0,0,0
24,177344,183634,4,24,183634,0,1,0
25,197172,202027,1,25,202027,0,1,0
26,202028,202639,2,26,202639,0,0,0
27,202640,204407,3,27,204407,0,0,0
28,204408,207570,4,28,207570,0,0,0
29,215724,220729,1,29,220729,0,1,0
30,220730,221543,2,30,221543,0,0,0
31,221544,221951,3,31,221951,0,0,0
32,221952,226746,4,32,226746,0,0,0
33,238180,243235,1,33,243235,0,2,0
34,243236,244017,2,34,244017,0,0,0
35,244018,244391,3,35,244391,0,0,0
36,244392,247622,4,36,247622,0,0,0
37,256866,262037,1,37,262037,0,2,0
38,262038,262955,2,38,262955,0,0,0
39,262956,263227,3,39,263227,0,0,0
40,263228,270130,4,40,270130,0,1,0
41,281557,286619,1,41,286619,0,1,0
42,286620,287299,2,42,287299,0,0,0
43,287300,287775,3,43,287775,0,0,0
44,287776,290768,4,44,290768,0,0,0
45,302077,307528,1,45,307528,0,1,0
46,307529,308447,2,46,308447,0,0,0
47,308448,308549,3,47,308448,0,0,0
48,308550,312120,4,48,309706,0,0,0
