phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,43940,50013,1,1,50013,0,2,0
2,50014,50931,2,2,50931,0,0,0
3,50932,51203,3,3,51203,0,0,0
4,51204,54434,4,4,54434,0,0,0
5,63726,69631,1,5,69631,0,1,0
6,69632,70617,2,6,70617,0,0,0
7,70618,71263,3,7,71263,0,0,0
8,71264,73202,4,8,73202,0,0,0
9,84580,89623,1,9,89623,0,2,0
10,89624,90405,2,10,90405,0,0,0
11,90406,90881,3,11,90881,0,0,0
12,90882,93296,4,12,93296,0,0,0
13,102264,107677,1,13,107677,0,3,0
14,107678,108867,2,14,108867,0,0,0
15,108868,109241,3,15,109241,0,0,0
16,109242,114075,4,16,114075,0,0,0
17,126722,132667,1,17,132667,0,2,0
18,132668,133687,2,18,133687,0,0,0
19,133688,134095,3,19,134095,0,0,0
20,134096,136170,4,20,136170,0,0,0
21,146142,151843,1,21,151843,0,2,0
22,151844,152897,2,22,152897,0,0,0
23,152898,153441,3,23,153441,0,0,0
24,153442,156128,4,24,156128,0,0,0
25,169699,176697,1,25,176697,0,2,0
26,176698,177445,2,26,177445,0,0,0
27,177446,178023,3,27,178023,0,0,0
28,178024,180132,4,28,180132,0,0,0
29,190319,195533,1,29,195533,0,3,0
30,195534,196519,2,30,196519,0,0,0
31,196520,196859,3,31,196745,0,0,0
32,196860,199682,4,32,199682,0,0,0
33,214543,220217,1,33,220217,0,1,0
34,220218,220965,2,34,220965,0,0,0
35,220966,221475,3,35,221475,0,0,0
36,221476,223958,4,36,223958,0,0,0
37,234696,240923,1,37,223958,0,2,0
38,240924,241909,2,38,241909,0,0,0
39,241910,242011,3,39,242011,0,0,0
40,242012,246602,4,40,246602,0,1,0
41,259220,264927,1,41,264927,0,2,0
42,264928,265743,2,42,265743,0,0,0
43,265744,266287,3,43,266287,0,0,0
44,266288,268600,4,44,268600,0,0,0
45,281076,286653,1,45,286653,0,1,0
46,286654,287775,2,46,287775,0,0,0
47,287776,288183,3,47,288183,0,0,0
48,288184,292808,4,48,292808,0,1,1
