phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,40535,44438,1,1,44872,0,1,0
2,44438,45219,2,2,45219,0,0,0
3,45220,45287,3,3,45287,0,0,0
4,45288,48042,4,4,48042,0,0,0
5,56952,62056,1,5,57256,0,1,0
6,62057,62990,2,6,62990,0,0,0
7,62991,63035,3,7,63035,0,0,0
8,63036,66232,4,8,66232,0,1,0
9,76504,80682,1,9,80941,0,1,0
10,80682,81633,2,10,81633,0,0,0
11,81634,81667,3,11,81667,0,0,0
12,81668,85306,4,12,85306,0,0,0
13,94589,98328,1,13,99159,0,1,0
14,98328,99653,2,14,99653,0,0,0
15,99654,99721,3,15,99654,0,0,0
16,99722,104958,4,16,104958,0,0,0
17,117245,120904,1,17,121148,0,2,0
18,120904,122467,2,18,122467,0,2,0
19,122468,122501,3,19,122501,0,1,0
20,122502,124610,4,20,124610,0,1,0
21,132927,136530,1,21,136530,0,0,0
22,136531,137461,2,22,137461,0,0,0
23,137462,137495,3,23,137495,0,0,0
24,137496,140749,4,24,140749,0,0,0
25,150679,154666,1,25,155149,0,0,1
26,154666,155749,2,26,155749,0,1,1
27,155750,155787,3,27,155787,0,0,0
28,155788,159154,4,28,159154,0,0,0
29,169898,174046,1,29,174301,0,2,0
30,174046,175169,2,30,175169,0,1,0
31,175170,175169,3,31,175170,0,0,0
32,175236,181764,4,32,181764,0,0,0
33,194522,198459,1,33,198459,0,1,1
34,198460,199375,2,34,199375,0,0,1
35,199376,199409,3,35,199409,0,0,1
36,199410,204646,4,36,199409,0,0,0
37,214075,218110,1,37,218011,0,2,0
38,218110,219113,2,38,219113,0,1,0
39,219114,219163,3,39,219114,0,0,0
40,219164,221680,4,40,221680,0,0,0
41,233460,237320,1,41,237431,0,1,0
42,237320,238365,2,42,238365,0,0,0
43,238366,238407,3,43,238366,0,0,0
44,238408,243372,4,44,243372,0,0,0
45,252112,256517,1,45,256517,0,0,0
46,256518,257685,2,46,257685,0,0,0
47,257686,257719,3,47,257686,0,0,0
48,257720,267376,4,48,267376,0,1,0
