phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,72640,77644,1,1,77644,0,3,0
2,77645,78845,2,2,78845,0,1,0
3,78846,79627,3,3,79627,0,0,0
4,79628,81953,4,4,81953,0,0,0
5,93962,98974,1,5,98165,0,1,0
6,98974,99960,2,6,99891,0,0,0
7,99960,100163,3,7,100163,0,0,0
8,100164,105332,4,8,105332,0,1,0
9,120788,124644,1,9,124224,0,1,0
10,124644,125357,2,10,125357,0,1,0
11,125358,125561,3,11,125561,0,0,0
12,125562,127466,4,12,127466,0,0,0
13,136004,141202,1,13,140607,0,2,0
14,141202,142188,2,14,142153,0,0,0
15,142188,142731,3,15,142731,0,0,0
16,142732,146636,4,16,146636,0,1,0
17,158059,163948,1,17,163295,0,1,0
18,163948,164797,2,18,164797,0,0,0
19,164798,165431,3,19,165431,0,0,0
20,165432,167790,4,20,167790,0,1,0
21,182383,187986,1,21,187555,0,2,0
22,187986,188937,2,22,188937,0,0,0
23,188938,189345,3,23,189345,0,0,0
24,189346,195024,4,24,195024,0,2,0
25,213448,218416,1,25,218018,0,2,0
26,218416,219368,2,26,219368,0,0,0
27,219368,219571,3,27,219571,0,0,0
28,219572,221782,4,28,221782,0,0,0
29,234802,238850,1,29,238739,0,1,0
30,238850,239835,2,30,239835,0,0,0
31,239836,240141,3,31,240141,0,0,0
32,240142,242692,4,32,240720,0,1,0
33,256891,262378,1,33,262162,0,1,0
34,262378,263096,2,34,263096,0,0,0
35,263097,263465,3,35,263465,0,0,0
36,263466,270776,4,36,270776,0,2,0
37,284285,289442,1,37,288789,0,1,0
38,289442,290394,2,38,290223,0,0,0
39,290394,290597,3,39,290597,0,0,0
40,290598,305320,4,40,305320,0,2,0
41,318185,323884,1,41,323123,0,2,0
42,323884,324904,2,42,324800,0,0,0
43,324904,325040,3,43,325005,0,0,0
44,325040,326978,4,44,326978,0,0,0
45,338505,344896,1,45,344611,0,2,0
46,344896,345916,2,46,345779,0,0,0
47,345916,346222,3,47,346152,0,0,0
48,346222,354926,4,48,354926,0,1,0
