phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,75106,79457,1,1,79457,0,2,0
2,79458,80239,2,2,80239,0,0,0
3,80240,80511,3,3,80511,0,0,0
4,80512,82518,4,4,82518,0,0,0
5,91689,96151,1,5,96151,0,1,0
6,96152,96865,2,6,96865,0,0,0
7,96866,97477,3,7,97477,0,0,0
8,97478,99382,4,8,99382,0,0,0
9,107271,112369,1,9,112369,0,1,0
10,112370,112947,2,10,112947,0,0,0
11,112948,113185,3,11,113185,0,0,0
12,113186,116280,4,12,116280,0,0,0
13,127392,132667,1,13,132667,0,2,0
14,132668,133993,2,14,133993,0,0,0
15,133994,134061,3,15,134061,0,0,0
16,134062,136238,4,16,136238,0,2,0
17,146744,151979,1,17,151979,0,1,0
18,151980,152693,2,18,152693,0,0,0
19,152694,152727,3,19,152727,0,0,0
20,152728,155006,4,20,155006,0,0,0
21,164028,168639,1,21,168639,0,2,0
22,168640,169421,2,22,169421,0,0,0
23,169422,170237,3,23,170237,0,0,0
24,170238,172448,4,24,172448,0,1,0
25,182612,187883,1,25,187883,0,0,0
26,187884,188631,2,26,188631,0,0,0
27,188632,188903,3,27,188903,0,0,0
28,188904,191250,4,28,191250,0,0,0
29,200664,205903,1,29,205903,0,1,0
30,205904,206719,2,30,206719,0,0,0
31,206720,207943,3,31,207943,0,0,0
32,207944,219352,4,32,219352,0,4,0
33,232696,237251,1,33,237251,0,2,0
34,237252,237931,2,34,237931,0,0,0
35,237932,238203,3,35,238203,0,0,0
36,238204,240244,4,36,240244,0,0,0
37,249947,254659,1,37,254659,0,3,0
38,254660,255611,2,38,255611,0,0,0
39,255612,255781,3,39,255781,0,0,0
40,255782,257856,4,40,257856,0,0,0
41,267498,272611,1,41,272611,0,1,0
42,272612,273291,2,42,273291,0,0,0
43,273292,273597,3,43,273597,0,0,0
44,273598,275956,4,44,275956,0,0,0
45,284916,290359,1,45,290359,0,1,0
46,290360,291752,2,46,291752,0,1,0
47,291753,291787,3,47,291787,0,1,0
48,291788,295075,4,48,295075,0,1,0
