phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,69209,73337,1,1,73337,0,2,0
2,73338,74017,2,2,74017,0,0,0
3,74018,74663,3,3,74663,0,0,0
4,74664,75990,4,4,75990,0,0,0
5,88395,93431,1,5,93431,0,1,0
6,93432,94451,2,6,94451,0,1,0
7,94452,96525,3,7,96525,0,0,0
8,96526,97240,4,8,97240,0,0,0
9,109617,113865,1,9,113865,0,1,0
10,113866,114647,2,10,114647,0,0,0
11,114648,115123,3,11,115123,0,0,0
12,115124,116824,4,12,116824,0,0,0
13,128068,132973,1,13,132973,0,1,0
14,132974,134061,2,14,134061,0,0,0
15,134062,134809,3,15,134809,0,0,0
16,134810,136374,4,16,136374,0,0,0
17,149956,153985,1,17,153985,0,1,0
18,153986,154767,2,18,154767,0,0,0
19,154768,155073,3,19,155073,0,0,0
20,155074,156604,4,20,156604,0,0,0
21,168742,173773,1,21,173773,0,2,0
22,173774,174691,2,22,174691,0,0,0
23,174692,174997,3,23,174997,0,0,0
24,174998,176426,4,24,176426,0,0,0
25,188896,193255,1,25,193255,0,1,0
26,193256,194037,2,26,194037,0,0,0
27,194038,194513,3,27,194513,0,0,0
28,194514,196588,4,28,196588,0,0,0
29,210851,215661,1,29,215661,0,1,0
30,215662,216953,2,30,216953,0,0,0
31,216954,219843,3,31,219843,0,2,0
32,219844,221102,4,32,221102,0,1,0
33,233006,237217,1,33,237217,0,1,0
34,237218,238067,2,34,238067,0,0,0
35,238068,238373,3,35,238373,0,0,0
36,238374,239938,4,36,239938,0,0,0
37,250491,254625,1,37,254625,0,1,0
38,254626,255441,2,38,255441,0,0,0
39,255442,255713,3,39,255713,0,0,0
40,255714,257006,4,40,257006,0,0,0
41,268208,272543,1,41,272543,0,2,0
42,272544,273155,2,42,273155,0,0,0
43,273156,274413,3,43,274413,0,0,0
44,274414,275264,4,44,275264,0,0,0
45,289363,294200,1,45,294200,0,1,0
46,294201,295391,2,46,295391,0,1,0
47,295392,295459,3,47,295459,0,0,0
48,295460,297874,4,48,297874,0,1,0
