phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,41092,44895,1,1,44895,0,2,0
2,44896,46409,2,2,46409,0,0,0
3,46410,49028,3,3,48959,0,0,0
4,49028,50286,4,4,50286,0,0,0
5,59577,64022,1,5,64114,0,2,0
6,64022,64973,2,6,64973,0,0,0
7,64974,86223,3,7,68664,0,6,0
8,86224,91324,4,8,86224,0,2,0
9,100551,104108,1,9,104243,0,2,0
10,104108,104921,2,10,104921,0,0,0
11,104922,105671,3,11,105671,0,0,0
12,105672,107202,4,12,107202,0,0,0
13,116767,120598,1,13,120670,0,2,0
14,120598,121617,2,14,121617,121616,0,0
15,121618,123419,3,15,123419,0,0,0
16,123420,124712,4,16,124712,0,0,0
17,133985,137987,1,17,137828,0,2,0
18,137988,138855,2,18,138855,0,0,0
19,138856,141541,3,19,141541,0,0,0
20,141542,142154,4,20,142154,0,0,0
21,152470,156434,1,21,156739,0,1,0
22,156434,157827,2,22,157827,0,0,0
23,157828,160477,3,23,160477,0,1,0
24,160478,165157,4,24,164505,0,3,0
25,176527,180404,1,25,180697,0,1,0
26,180404,181287,2,26,181287,0,0,0
27,181288,183633,3,27,183633,0,0,0
28,183634,184314,4,28,184314,0,0,0
29,193176,196588,1,29,196313,0,1,0
30,196588,197573,2,30,197573,0,1,0
31,197574,198356,3,31,198356,0,0,0
32,198356,200668,4,32,200668,0,0,0
33,210394,214331,1,33,213492,0,2,0
34,214332,215049,2,34,215049,0,0,0
35,215050,217701,3,35,217701,0,0,0
36,217702,218586,4,36,218586,0,1,0
37,228312,232866,1,37,233115,0,0,0
38,232866,233883,2,38,233883,0,0,0
39,233884,234951,3,39,233883,0,1,0
40,234952,237218,4,40,237212,0,2,0
41,247131,251191,1,41,250941,0,2,0
42,251192,252035,2,42,252035,0,0,0
43,252036,254503,3,43,254503,0,0,0
44,254504,255272,4,44,255272,0,0,0
45,264841,268652,1,45,268599,0,1,0
46,268653,269755,2,46,269755,269754,0,0
47,269756,271965,3,47,271965,0,0,0
48,271966,272714,4,48,272714,0,0,0
