phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,50805,55794,1,1,55509,0,2,0
2,55794,56610,2,2,56575,0,0,0
3,56610,56881,3,3,56881,0,0,0
4,56882,58650,4,4,58581,0,0,0
5,67689,72964,1,5,67689,0,2,0
6,72964,75106,2,6,75071,0,0,0
7,75106,83129,3,7,83129,0,2,0
8,83130,85782,4,8,83130,0,1,0
9,98586,102680,1,9,85782,0,1,0
10,102680,103360,2,10,103325,0,0,0
11,103360,103360,3,11,103326,0,0,0
12,103360,105740,4,12,105576,0,1,0
13,115737,119816,1,13,119918,0,1,0
14,119816,120700,2,14,120607,0,0,0
15,120700,120700,3,15,120608,0,0,0
16,120700,122842,4,16,122842,0,0,0
17,133121,136986,1,17,137057,0,2,0
18,136986,137700,2,18,137665,0,0,0
19,137700,137835,3,19,137835,0,0,0
20,137835,140284,4,20,140284,0,0,0
21,150038,153884,1,21,153939,0,1,0
22,153884,154870,2,22,154870,0,2,0
23,154870,154869,3,23,155275,0,1,0
24,154870,157692,4,24,155276,0,0,0
25,167855,172176,1,25,172025,0,2,0
26,172176,172924,2,26,172923,0,0,0
27,172924,173128,3,27,173393,0,0,0
28,173128,174998,4,28,174998,0,0,0
29,185006,189720,1,29,189710,0,1,0
30,189720,190536,2,30,190467,0,1,0
31,190536,190536,3,31,190468,0,0,0
32,190536,193120,4,32,193086,0,0,0
33,205960,211174,1,33,205960,0,2,0
34,211174,211956,2,34,211989,0,0,0
35,211956,213213,3,35,213213,0,0,0
36,213213,214948,4,36,214948,0,1,0
37,224479,228922,1,37,228949,0,1,0
38,228922,229840,2,38,228950,0,0,0
39,229840,230826,3,39,231151,0,1,0
40,230826,232968,4,40,233070,0,1,0
41,247235,251668,1,41,251571,0,1,0
42,251668,252450,2,42,252405,0,0,0
43,252450,252517,3,43,252517,0,0,0
44,252518,255714,4,44,255476,0,1,0
45,266587,270912,1,45,270724,0,2,0
46,270912,271592,2,46,271523,0,1,0
47,271592,271592,3,47,271524,0,0,0
48,271592,274312,4,48,274312,0,1,0
