phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,54735,59363,1,1,54735,0,1,0
2,59364,59907,2,2,59364,0,0,0
3,59908,60553,3,3,60553,0,0,0
4,60554,62662,4,4,62662,0,0,0
5,70984,75887,1,5,75887,0,1,0
6,75888,76737,2,6,76737,0,0,0
7,76738,77553,3,7,77553,0,0,0
8,77554,81328,4,8,81328,0,1,0
9,90204,94689,1,9,94689,0,1,0
10,94690,95267,2,10,95267,0,0,0
11,95268,95607,3,11,95607,0,0,0
12,95608,99722,4,12,99722,0,1,0
13,107321,112471,1,13,112471,0,2,0
14,112472,113287,2,14,113287,0,0,0
15,113288,113661,3,15,113661,0,0,0
16,113662,117502,4,16,117502,0,1,0
17,125639,130321,1,17,130321,0,2,0
18,130322,131103,2,18,131103,0,0,0
19,131104,131443,3,19,131443,0,0,0
20,131444,134028,4,20,134028,0,0,0
21,141455,145553,1,21,145553,0,2,0
22,145554,146539,2,22,146539,0,0,0
23,146540,146777,3,23,146777,0,0,0
24,146778,152110,4,24,146846,0,2,0
25,163043,167415,1,25,167415,0,2,0
26,167416,168095,2,26,168095,0,0,0
27,168096,168571,3,27,168571,0,0,0
28,168572,171326,4,28,171734,0,1,0
29,179860,183763,1,29,183763,0,1,0
30,183764,184721,2,30,184721,0,0,0
31,184722,185095,3,31,185095,0,0,0
32,185096,188088,4,32,188088,0,0,0
33,197311,201279,1,33,201279,0,1,0
34,201280,202163,2,34,202163,0,0,0
35,202164,202469,3,35,202469,0,0,0
36,202470,213452,4,36,213452,0,2,0
37,221034,226337,1,37,226337,0,2,0
38,226338,227139,2,38,227139,0,0,0
39,227140,227595,3,39,227595,0,0,0
40,227596,241536,4,40,241536,0,1,0
41,253400,257447,1,41,257447,0,1,0
42,257448,258297,2,42,258297,0,0,0
43,258298,258399,3,43,258399,0,0,0
44,258400,260916,4,44,260916,0,1,0
45,269750,274480,1,45,274480,0,2,0
46,274481,275331,2,46,275331,0,0,0
47,275332,276045,3,47,276045,0,0,0
48,276046,277916,4,48,276930,0,0,0
