phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,63629,68169,1,1,68169,0,2,0
2,68170,68985,2,2,68985,0,0,0
3,68986,71195,3,3,71195,0,0,0
4,71196,72114,4,4,72114,0,0,0
5,85284,90337,1,5,90337,0,2,0
6,90338,91323,2,6,91323,0,0,0
7,91324,93805,3,7,92174,0,1,0
8,93806,109684,4,8,109684,0,4,0
9,123989,127941,1,9,127941,0,1,0
10,127942,128689,2,10,128689,0,0,0
11,128690,131103,3,11,131103,0,0,0
12,131104,133144,4,12,133144,0,1,0
13,148012,154121,1,13,154121,0,3,0
14,154122,154937,2,14,154266,0,1,0
15,154938,155175,3,15,155175,0,0,0
16,155176,162826,4,16,162826,0,2,0
17,180446,185095,1,17,185095,0,1,0
18,185096,185673,2,18,185673,0,0,0
19,185674,186319,3,19,186319,0,0,0
20,186320,187986,4,20,187986,0,0,0
21,206371,211377,1,21,211377,0,3,0
22,211378,212295,2,22,212295,0,0,0
23,212296,212975,3,23,212975,0,0,0
24,212976,224332,4,24,224332,0,2,0
25,237368,242521,1,25,242521,0,1,0
26,242522,243303,2,26,243303,0,0,0
27,243304,244017,3,27,244017,0,0,0
28,244018,247350,4,28,247350,0,0,0
29,264663,269755,1,29,269755,0,2,0
30,269756,270605,2,30,270605,0,0,0
31,270606,270639,3,31,270639,0,0,0
32,270640,276794,4,32,276794,0,1,0
33,295460,300525,1,33,300525,0,2,0
34,300526,301239,2,34,301239,0,0,0
35,301240,302021,3,35,302021,0,0,0
36,302022,310692,4,36,310692,0,2,0
37,327459,332213,1,37,332213,0,0,0
38,332214,332960,2,38,332960,0,0,0
39,332961,333504,3,39,333504,0,0,0
40,333505,349724,4,40,349724,0,3,0
41,368300,373115,1,41,373115,0,2,0
42,373116,373829,2,42,373829,0,0,0
43,373830,374304,3,43,374304,0,0,0
44,374305,382874,4,44,382874,0,2,0
45,397229,402083,1,45,402083,0,2,0
46,402084,403103,2,46,403103,0,0,0
47,403104,403749,3,47,403749,0,0,0
48,403750,408646,4,48,408646,0,2,0
