phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,42103,46104,1,1,46139,0,0,0
2,46104,46988,2,2,46817,0,0,0
3,46988,47361,3,3,47361,47360,0,0
4,47362,49527,4,4,47361,47360,0,0
5,58152,62628,1,5,49527,0,0,0
6,62628,63457,2,6,62789,0,0,0
7,63458,64294,3,7,63457,0,0,0
8,64294,67609,4,8,64758,0,0,0
9,76604,80707,1,9,67609,0,1,0
10,80708,81274,2,10,78823,0,0,0
11,81275,82075,3,11,81274,0,0,0
12,82076,84612,4,12,82075,0,0,0
13,92854,98192,1,13,84612,0,2,0
14,98192,99226,2,14,96170,0,0,0
15,99227,101184,3,15,99226,0,0,0
16,101184,102010,4,16,102010,0,0,0
17,111005,115634,1,17,115280,0,1,0
18,115634,116449,2,18,116449,0,0,0
19,116450,118217,3,19,118217,0,0,0
20,118218,119517,4,20,119517,0,0,0
21,128623,133593,1,21,133593,0,1,0
22,133594,134401,2,22,134401,0,0,0
23,134402,137030,3,23,137030,0,0,0
24,137031,138646,4,24,138646,0,0,0
25,148743,153510,1,25,153847,0,2,0
26,153510,154359,2,26,154359,0,0,0
27,154360,157522,3,27,157683,0,0,0
28,157522,158984,4,28,158984,0,0,0
29,169630,174658,1,29,174701,0,0,0
30,174658,175643,2,30,175643,0,0,0
31,175644,176357,3,31,176357,0,0,0
32,176358,180166,4,32,179384,0,1,0
33,191052,194922,1,33,194923,0,1,0
34,194922,195669,2,34,195669,0,0,0
35,195670,196757,3,35,196757,0,0,0
36,196758,198714,4,36,198714,0,0,0
37,208236,212739,1,37,212739,0,0,0
38,212740,213839,2,38,213839,0,0,0
39,213840,216682,3,39,216275,0,1,0
40,216682,222067,4,40,218039,0,2,0
41,237422,240312,1,41,239961,0,1,0
42,240312,240889,2,42,240889,0,0,0
43,240890,241735,3,43,241735,0,0,0
44,241736,245548,4,44,245548,0,0,0
45,254415,259012,1,45,258918,0,2,0
46,259012,259690,2,46,259690,0,0,0
47,259691,260302,3,47,260302,0,0,0
48,260303,262616,4,48,262784,0,0,0
