phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,61996,67489,1,1,67489,0,1,0
2,67490,68271,2,2,68271,0,0,0
3,68272,72215,3,3,72215,0,1,0
4,72216,73100,4,4,73100,0,0,0
5,82116,88365,1,5,88365,0,1,0
6,88366,89215,2,6,89215,0,0,0
7,89216,89929,3,7,89929,0,0,0
8,89930,93448,4,8,93448,0,0,0
9,103170,108391,1,9,108391,0,0,0
10,108392,109343,2,10,109343,0,0,0
11,109344,113049,3,11,113049,0,1,0
12,113050,114444,4,12,114444,0,1,0
13,123290,129879,1,13,129879,0,1,0
14,129880,130763,2,14,130763,0,0,0
15,130764,131613,3,15,131613,0,0,0
16,131614,134232,4,16,134232,0,1,0
17,145946,151299,1,17,151299,0,0,0
18,151300,152081,2,18,152081,0,0,0
19,152082,152557,3,19,152557,0,0,0
20,152558,154802,4,20,154802,0,0,0
21,164498,170203,1,21,170203,0,1,0
22,170204,171087,2,22,171087,0,0,0
23,171088,172413,3,23,172413,0,0,0
24,172414,175232,4,24,175232,0,0,0
25,187188,192575,1,25,192575,0,0,0
26,192576,193357,2,26,193357,0,0,0
27,193358,193969,3,27,193969,0,0,0
28,193970,195772,4,28,195772,0,0,0
29,210144,215423,1,29,215423,0,1,0
30,215424,216647,2,30,216647,0,0,0
31,216648,216681,3,31,216681,0,0,0
32,216682,223720,4,32,223720,0,1,0
33,235502,241297,1,33,241297,0,1,0
34,241298,241977,2,34,241977,0,0,0
35,241978,242725,3,35,242725,0,0,0
36,242726,246330,4,36,246330,0,0,0
37,254088,258977,1,37,258977,0,1,0
38,258978,259861,2,38,259861,0,0,0
39,259862,260711,3,39,260711,0,0,0
40,260712,263262,4,40,263262,0,0,0
41,277511,283151,1,41,283151,0,1,0
42,283152,283967,2,42,283967,0,0,0
43,283968,284408,3,43,284408,0,0,0
44,284409,286450,4,44,286450,0,0,0
45,295029,300389,1,45,300389,0,1,0
46,300390,301171,2,46,301171,0,1,0
47,301172,303992,3,47,303373,0,1,0
48,303993,304742,4,48,303993,0,0,0
