phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,48626,53196,"1",0,48626,53195,"1",
1,53197,54093,"2",1,53196,54092,"0",
2,54094,57051,"3",2,54093,57050,"0",
3,57052,57664,"4",3,57051,57664,"0",
4,67244,72216,"1",4,67244,72215,"0",
5,72216,73745,"2",5,72216,73744,"0",
6,73746,74153,"3",6,73745,74152,"0",
7,74154,77180,"4",7,74153,77180,"0",
8,92103,96288,"1",8,92103,96287,"1",
9,96288,97107,"2",9,96288,97106,"0",
10,97108,97443,"3",10,97107,97442,"0",
11,97444,99348,"4",11,97443,99347,"0",
12,107852,112388,"1",12,107852,112387,"0",
13,112389,113355,"2",13,112388,113354,"0",
14,113356,114273,"3",14,113355,114274,"0",
15,114274,115532,"4",15,114274,115532,"0",
16,123868,127971,"1",,,,,
17,127972,128689,"2",,,,,
18,128690,128995,"3",,,,,
19,128996,131274,"4",,,,,
20,140551,145087,"1",,,,,
21,145088,145995,"2",,,,,
22,145996,146233,"3",,,,,
23,146234,149362,"4",,,,,
24,159803,163739,"1",,,,,
25,163740,164525,"2",,,,,
26,164526,164729,"3",,,,,
27,164730,167314,"4",,,,,
28,177488,181523,"1",,,,,
29,181524,182443,"2",,,,,
30,182444,182647,"3",,,,,
31,182648,184688,"4",,,,,
32,194604,198764,"1",,,,,
33,198764,199545,"2",,,,,
34,199546,199954,"3",,,,,
35,199954,201858,"4",,,,,
36,210220,214574,"1",,,,,
37,214574,215593,"2",,,,,
38,215594,216443,"3",,,,,
39,216444,219742,"4",,,,,
40,229206,233075,"1",,,,,
41,233076,233818,"2",,,,,
42,233818,234089,"3",,,,,
43,234090,236470,"4",,,,,
44,246323,250444,"1",,,,,
45,250444,251294,"2",,,,,
46,251294,252109,"3",,,,,
47,252110,253640,"4",,,,,
