phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,77123,82313,"1",0,82313,0,"2","","",
1,82314,83095,"2",1,83095,0,"0","","",
2,83096,85339,"3",2,85339,0,"0","","",
3,85340,86927,"4",3,86927,0,"0","","",
4,101147,106521,"1",4,106521,0,"1","","",
5,106522,107269,"2",5,107269,0,"0","","",
6,107270,110363,"3",6,110363,0,"0","","",
7,110364,111962,"4",7,111962,0,"0","","",
8,124103,129471,"1",8,129471,0,"1","","",
9,129472,130150,"2",9,130150,0,"0","","",
10,130151,134707,"3",10,134707,0,"0","","",
11,134708,139298,"4",11,139298,0,"0","","",
12,161974,166878,"1",12,166878,0,"1","","",
13,166879,167755,"2",13,167755,0,"0","","",
14,167756,170543,"3",14,170543,0,"0","","",
15,170544,171632,"4",15,171632,0,"0","","",
16,185864,191113,"1",,,,,,,
17,191114,191895,"2",,,,,,,
18,191896,194071,"3",,,,,,,
19,194072,195262,"4",,,,,,,
20,214327,219401,"1",,,,,,,
21,219402,220319,"2",,,,,,,
22,220320,222563,"3",,,,,,,
23,222564,224332,"4",,,,,,,
24,237383,243021,"1",,,,,,,
25,243022,243711,"2",,,,,,,
26,243712,246658,"3",,,,,,,
27,246659,247996,"4",,,,,,,
28,259104,263907,"1",,,,,,,
29,263908,264655,"2",,,,,,,
30,264656,268531,"3",,,,,,,
31,268532,271728,"4",,,,,,,
32,284664,289543,"1",,,,,,,
33,289544,290223,"2",,,,,,,
34,290224,292637,"3",,,,,,,
35,292638,295085,"4",,,,,,,
36,307153,312424,"1",,,,,,,
37,312425,313325,"2",,,,,,,
38,313326,315694,"3",,,,,,,
39,315695,319906,"4",,,,,,,
40,334814,340271,"1",,,,,,,
41,340272,341053,"2",,,,,,,
42,341054,344688,"3",,,,,,,
43,344689,346698,"4",,,,,,,
44,358937,364376,"1",,,,,,,
45,364377,365243,"2",,,,,,,
46,365244,368423,"3",,,,,,,
47,368424,369758,"4",,,,,,,
