phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,64046,67659,"1",0,67659,0,"1","","",
1,67660,68509,"2",1,68509,0,"0","","",
2,68510,69155,"3",2,69155,0,"0","","",
3,69156,70958,"4",3,70958,0,"0","","",
4,83999,88569,"1",4,88569,0,"2","","",
5,88570,89725,"2",5,89725,0,"0","","",
6,89726,90473,"3",6,90473,0,"0","","",
7,90474,92378,"4",7,92378,0,"2","","",
8,105788,109989,"1",8,109989,0,"2","","",
9,109990,110703,"2",9,110703,0,"0","","",
10,110704,111723,"3",10,111723,0,"0","","",
11,111724,113458,"4",11,113458,0,"0","","",
12,125941,130422,"1",12,130422,0,"2","","",
13,130423,131443,"2",13,131443,0,"0","","",
14,131444,133789,"3",14,133789,0,"0","","",
15,133790,134538,"4",15,134538,0,"0","","",
16,146862,150755,"1",,,,,,,
17,150756,151503,"2",,,,,,,
18,151504,152251,"3",,,,,,,
19,152252,154224,"4",,,,,,,
20,167248,171733,"1",,,,,,,
21,171734,172617,"2",,,,,,,
22,172618,175507,"3",,,,,,,
23,175508,176664,"4",,,,,,,
24,189338,193935,"1",,,,,,,
25,193936,195057,"2",,,,,,,
26,195058,195431,"3",,,,,,,
27,195432,197540,"4",,,,,,,
28,212660,217225,"1",,,,,,,
29,217226,218245,"2",,,,,,,
30,218246,220217,"3",,,,,,,
31,220218,221102,"4",,,,,,,
32,235552,238951,"1",,,,,,,
33,238952,239699,"2",,,,,,,
34,239700,240617,"3",,,,,,,
35,240618,242284,"4",,,,,,,
36,253435,257685,"1",,,,,,,
37,257686,258705,"2",,,,,,,
38,258706,259827,"3",,,,,,,
39,259828,261868,"4",,,,,,,
40,275257,279581,"1",,,,,,,
41,279582,280328,"2",,,,,,,
42,280329,281247,"3",,,,,,,
43,281248,283560,"4",,,,,,,
44,297145,301952,"1",,,,,,,
45,301953,302768,"2",,,,,,,
46,302769,305080,"3",,,,,,,
47,305081,306170,"4",,,,,,,
