phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,62712,67727,"1",0,67727,0,"2","","",
1,67728,68679,"2",1,68679,0,"0","","",
2,68680,68815,"3",2,68815,0,"0","","",
3,68816,71093,"4",3,71093,0,"0","","",
4,81398,87379,"1",4,87379,0,"2","","",
5,87380,88263,"2",5,88263,0,"0","","",
6,88264,88705,"3",6,88705,0,"0","","",
7,88706,91018,"4",7,91018,0,"0","","",
8,105388,110669,"1",8,110669,0,"2","","",
9,110670,111417,"2",9,111417,0,"1","","",
10,111418,112063,"3",10,112063,0,"0","","",
11,112064,128588,"4",11,128588,0,"0","","",
12,136552,141609,"1",12,141609,0,"1","","",
13,141610,142561,"2",13,142561,0,"1","","",
14,142562,142867,"3",14,142867,0,"0","","",
15,142868,165138,"4",15,165138,0,"0","","",
16,184467,188971,"1",,,,,,,
17,188972,189753,"2",,,,,,,
18,189754,190127,"3",,,,,,,
19,190128,193528,"4",,,,,,,
20,201184,206481,"1",,,,,,,
21,206482,207263,"2",,,,,,,
22,207264,207841,"3",,,,,,,
23,207842,212058,"4",,,,,,,
24,223640,228479,"1",,,,,,,
25,228480,229193,"2",,,,,,,
26,229194,229805,"3",,,,,,,
27,229806,234497,"4",,,,,,,
28,242626,247263,"1",,,,,,,
29,247264,248199,"2",,,,,,,
30,248200,248369,"3",,,,,,,
31,248370,269214,"4",,,,,,,
32,280529,284816,"1",,,,,,,
33,284817,285599,"2",,,,,,,
34,285600,286075,"3",,,,,,,
35,286076,289952,"4",,,,,,,
36,300016,305080,"1",,,,,,,
37,305081,305999,"2",,,,,,,
38,306000,306611,"3",,,,,,,
39,306612,308652,"4",,,,,,,
40,324273,329288,"1",,,,,,,
41,329289,329968,"2",,,,,,,
42,329969,330411,"3",,,,,,,
43,330412,353634,"4",,,,,,,
44,361862,367232,"1",,,,,,,
45,367233,368184,"2",,,,,,,
46,368185,368525,"3",,,,,,,
47,368526,445085,"4",,,,,,,
