phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,53944,58581,"1",0,58581,0,"1","","",
1,58582,59465,"2",1,59465,0,"0","","",
2,59466,60009,"3",2,60009,0,"0","","",
3,60010,61880,"4",3,61880,0,"0","","",
4,72029,77927,"1",4,77927,0,"2","","",
5,77928,78811,"2",5,78811,0,"0","","",
6,78812,79831,"3",6,79831,0,"0","","",
7,79832,82858,"4",7,82858,0,"0","","",
8,94718,99721,"1",8,99721,0,"1","","",
9,99722,100571,"2",9,100571,0,"0","","",
10,100572,101217,"3",10,101217,0,"0","","",
11,101218,103530,"4",11,103530,0,"0","","",
12,113370,119135,"1",12,119135,0,"2","","",
13,119136,120155,"2",13,120155,0,"0","","",
14,120156,121277,"3",14,121277,0,"0","","",
15,121278,124848,"4",15,124848,0,"0","","",
16,135592,140453,"1",,,,,,,
17,140454,141133,"2",,,,,,,
18,141134,141405,"3",,,,,,,
19,141406,143684,"4",,,,,,,
20,152075,156841,"1",,,,,,,
21,156842,157691,"2",,,,,,,
22,157692,158847,"3",,,,,,,
23,158848,161228,"4",,,,,,,
24,171195,176833,"1",,,,,,,
25,176834,177717,"2",,,,,,,
26,177718,177717,"3",,,,,,,
27,177718,180511,"4",,,,,,,
28,189079,194445,"1",,,,,,,
29,194446,195329,"2",,,,,,,
30,195330,196247,"3",,,,,,,
31,196248,200498,"4",,,,,,,
32,210667,216205,"1",,,,,,,
33,216206,217021,"2",,,,,,,
34,217022,217769,"3",,,,,,,
35,217770,230058,"4",,,,,,,
36,239028,244357,"1",,,,,,,
37,244358,245139,"2",,,,,,,
38,245140,245887,"3",,,,,,,
39,245888,250070,"4",,,,,,,
40,260746,265981,"1",,,,,,,
41,265982,266831,"2",,,,,,,
42,266832,267205,"3",,,,,,,
43,267206,269994,"4",,,,,,,
44,279102,284307,"1",,,,,,,
45,284308,285496,"2",,,,,,,
46,285497,286992,"3",,,,,,,
47,286993,288796,"4",,,,,,,
