phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,52720,57494,"1",0,52720,57493,"1",
1,57494,58412,"2",1,57494,58411,"0",
2,58412,58649,"3",2,58412,58648,"0",
3,58650,61473,"4",3,58649,61473,"0",
4,70004,74608,"1",4,70004,74607,"1",
5,74609,75649,"2",5,74608,75648,"0",
6,75650,76376,"3",6,75649,76375,"0",
7,76377,78914,"4",7,76376,78914,"0",
8,88874,93160,"1",8,88874,93159,"1",
9,93160,93894,"2",9,93160,93893,"0",
10,93895,93941,"3",10,93894,93940,"0",
11,93942,96254,"4",11,93941,96254,"0",
12,104138,108902,"1",12,104138,108901,"2",
13,108902,109888,"2",13,108902,109887,"0",
14,109888,109989,"3",14,109888,109989,"0",
15,109990,112778,"4",15,109990,112778,"1",
16,121322,125562,"1",,,,,
17,125562,126541,"2",,,,,
18,126542,126683,"3",,,,,
19,126684,129880,"4",,,,,
20,139407,144811,"1",,,,,
21,144812,146029,"2",,,,,
22,146030,146131,"3",,,,,
23,146132,149022,"4",,,,,
24,159260,163497,"1",,,,,
25,163498,164423,"2",,,,,
26,164424,164457,"3",,,,,
27,164458,166974,"4",,,,,
28,178579,183650,"1",,,,,
29,183651,184483,"2",,,,,
30,184484,184551,"3",,,,,
31,184552,188122,"4",,,,,
32,200368,204408,"1",,,,,
33,204408,205257,"2",,,,,
34,205258,205291,"3",,,,,
35,205292,208546,"4",,,,,
36,217719,222622,"1",,,,,
37,222623,223549,"2",,,,,
38,223550,223685,"3",,,,,
39,223686,227222,"4",,,,,
40,239040,243643,"1",,,,,
41,243644,244494,"2",,,,,
42,244494,245173,"3",,,,,
43,245174,247112,"4",,,,,
44,255890,260127,"1",,,,,
45,260128,260983,"2",,,,,
46,260984,261151,"3",,,,,
47,261152,263568,"4",,,,,
