phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,49348,54841,"1",0,54841,0,"2","","",
1,54842,55895,"2",1,55895,0,"0","","",
2,55896,58037,"3",2,58037,0,"0","","",
3,58038,63138,"4",3,63138,0,"1","","",
4,73539,80443,"1",4,80443,0,"1","","",
5,80444,81327,"2",5,81327,0,"0","","",
6,81328,82313,"3",6,82313,0,"0","","",
7,82314,84490,"4",7,84490,0,"1","","",
8,98130,104311,"1",8,104311,0,"2","","",
9,104312,104991,"2",9,104991,0,"0","","",
10,104992,105773,"3",10,105773,0,"0","","",
11,105774,107440,"4",11,107440,0,"1","","",
12,118250,123555,"1",12,123555,0,"0","","",
13,123556,124405,"2",13,124405,0,"0","","",
14,124406,125085,"3",14,125085,0,"0","","",
15,125086,137190,"4",15,137190,0,"2","","",
16,151550,157725,"1",,,,,,,
17,157726,158915,"2",,,,,,,
18,158916,159697,"3",,,,,,,
19,159698,170682,"4",,,,,,,
20,180646,186149,"1",,,,,,,
21,186150,187101,"2",,,,,,,
22,187102,187849,"3",,,,,,,
23,187850,189618,"4",,,,,,,
24,206704,212543,"1",,,,,,,
25,212544,213315,"2",,,,,,,
26,213316,213893,"3",,,,,,,
27,213894,229866,"4",,,,,,,
28,239638,245105,"1",,,,,,,
29,245106,245887,"2",,,,,,,
30,245888,246227,"3",,,,,,,
31,246228,254762,"4",,,,,,,
32,270502,275872,"1",,,,,,,
33,275873,276453,"2",,,,,,,
34,276454,277133,"3",,,,,,,
35,277134,0,"4",,,,,,,
36,292691,299063,"1",,,,,,,
37,299064,300048,"2",,,,,,,
38,300049,300627,"3",,,,,,,
39,300628,312902,"4",,,,,,,
40,326925,333607,"1",,,,,,,
41,333608,334491,"2",,,,,,,
42,334492,334864,"3",,,,,,,
43,334865,347446,"4",,,,,,,
44,356388,362779,"1",,,,,,,
45,362780,364104,"2",,,,,,,
46,364105,379877,"3",,,,,,,
47,379878,380930,"4",,,,,,,
