phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,41092,44895,"1",0,41092,44896,"2",
1,44896,46409,"2",1,44896,46410,"0",
2,46410,49028,"3",2,46410,49028,"0",
3,49028,50286,"4",3,49028,50286,"0",
4,59577,64022,"1",4,59577,64022,"2",
5,64022,64973,"2",5,64022,64974,"0",
6,64974,86223,"3",6,64974,86224,"6",
7,86224,91324,"4",7,86224,91324,"2",
8,100551,104108,"1",8,100551,104107,"2",
9,104108,104921,"2",9,104108,104920,"0",
10,104922,105671,"3",10,104921,105670,"0",
11,105672,107202,"4",11,105671,107202,"0",
12,116767,120598,"1",12,116767,120597,"2",
13,120598,121617,"2",13,120598,121616,"0",
14,121618,123419,"3",14,121617,123418,"0",
15,123420,124712,"4",15,123419,124712,"1",
16,133985,137987,"1",,,,,
17,137988,138855,"2",,,,,
18,138856,141541,"3",,,,,
19,141542,142154,"4",,,,,
20,152470,156434,"1",,,,,
21,156434,157827,"2",,,,,
22,157828,160477,"3",,,,,
23,160478,165157,"4",,,,,
24,176527,180404,"1",,,,,
25,180404,181287,"2",,,,,
26,181288,183633,"3",,,,,
27,183634,184314,"4",,,,,
28,193176,196588,"1",,,,,
29,196588,197573,"2",,,,,
30,197574,198356,"3",,,,,
31,198356,200668,"4",,,,,
32,210394,214331,"1",,,,,
33,214332,215049,"2",,,,,
34,215050,217701,"3",,,,,
35,217702,218586,"4",,,,,
36,228312,232866,"1",,,,,
37,232866,233883,"2",,,,,
38,233884,234951,"3",,,,,
39,234952,237218,"4",,,,,
40,247131,251191,"1",,,,,
41,251192,252035,"2",,,,,
42,252036,254503,"3",,,,,
43,254504,255272,"4",,,,,
44,264841,268652,"1",,,,,
45,268653,269755,"2",,,,,
46,269756,271965,"3",,,,,
47,271966,272714,"4",,,,,
