phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,50351,56031,"1",0,56031,0,"1","","",
1,56032,56881,"2",1,56881,0,"0","","",
2,56882,57459,"3",2,57459,0,"0","","",
3,57460,60452,"4",3,60452,0,"0","","",
4,69036,75479,"1",4,75479,0,"1","","",
5,75480,76431,"2",5,76431,0,"0","","",
6,76432,77315,"3",6,77315,0,"0","","",
7,77316,78982,"4",7,78982,0,"0","","",
8,89790,95369,"1",8,95369,0,"1","","",
9,95370,96117,"2",9,96117,0,"0","","",
10,96118,96763,"3",10,96763,0,"0","","",
11,96764,98192,"4",11,98192,0,"0","","",
12,107308,113593,"1",12,113593,0,"1","","",
13,113594,114477,"2",13,114477,0,"0","","",
14,114478,114987,"3",14,114987,0,"0","","",
15,114988,117640,"4",15,117640,0,"0","","",
16,131265,137631,"1",,,,,,,
17,137632,138447,"2",,,,,,,
18,138448,139569,"3",,,,,,,
19,139570,140658,"4",,,,,,,
20,149950,155889,"1",,,,,,,
21,155890,156773,"2",,,,,,,
22,156774,157521,"3",,,,,,,
23,157522,159120,"4",,,,,,,
24,171872,178533,"1",,,,,,,
25,178534,179247,"2",,,,,,,
26,179248,179757,"3",,,,,,,
27,179758,181662,"4",,,,,,,
28,191592,197641,"1",,,,,,,
29,197642,198661,"2",,,,,,,
30,198662,199681,"3",,,,,,,
31,199682,201450,"4",,,,,,,
32,213012,219163,"1",,,,,,,
33,219164,219843,"2",,,,,,,
34,219844,220693,"3",,,,,,,
35,220694,221918,"4",,,,,,,
36,231332,237693,"1",,,,,,,
37,237694,238611,"2",,,,,,,
38,238612,239835,"3",,,,,,,
39,239836,241230,"4",,,,,,,
40,254255,260507,"1",,,,,,,
41,260508,261289,"2",,,,,,,
42,261290,261629,"3",,,,,,,
43,261630,263568,"4",,,,,,,
44,274275,279955,"1",,,,,,,
45,279956,280907,"2",,,,,,,
46,280908,281451,"3",,,,,,,
47,281452,284478,"4",,,,,,,
