phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks
0,65613,71026,1,0,65613,71025,1
1,71026,71819,2,1,71026,71818,0
2,71820,71875,3,2,71819,71874,0
3,71876,77486,4,3,71875,77486,0
4,86768,92446,1,4,86768,92445,2
5,92446,93329,2,5,92446,93328,0
6,93330,93669,3,6,93329,93668,0
7,93670,97274,4,7,93669,97274,1
8,107755,112506,1,8,107755,112505,2
9,112506,113117,2,9,112506,113116,0
10,113118,113763,3,10,113117,113762,0
11,113764,115362,4,11,113763,115362,0
12,126341,131172,1,12,126341,131171,1
13,131172,132022,2,13,131172,132021,0
14,132022,132361,3,14,132022,132360,0
15,132362,134407,4,15,132361,134407,0
16,147795,153204,1,,,,
17,153204,153951,2,,,,
18,153952,154291,3,,,,
19,154292,157250,4,,,,
20,173020,177038,1,,,,
21,177038,178092,2,,,,
22,178092,178363,3,,,,
23,178364,180846,4,,,,
24,194508,199446,1,,,,
25,199447,200293,2,,,,
26,200294,200599,3,,,,
27,200600,202810,4,,,,
28,213962,218620,1,,,,
29,218620,219571,2,,,,
30,219572,220081,3,,,,
31,220082,222836,4,,,,
32,235016,240516,1,,,,
33,240516,241331,2,,,,
34,241332,241671,3,,,,
35,241672,246092,4,,,,
36,256136,261766,1,,,,
37,261766,262743,2,,,,
38,262744,262819,3,,,,
39,262820,267036,4,,,,
40,280561,285232,1,,,,
41,285233,285803,2,,,,
42,285804,286500,3,,,,
43,286501,291787,4,,,,
44,302249,310046,1,,,,
45,310046,310824,2,,,,
46,310825,311541,3,,,,
47,311542,314500,4,,,,
