phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,46453,50727,"1",0,50727,0,"2","","",
1,50728,51509,"2",1,51509,0,"0","","",
2,51510,51985,"3",2,51985,0,"0","","",
3,51986,53924,"4",3,53924,0,"0","","",
4,61402,66469,"1",4,66469,0,"4","","",
5,66470,67591,"2",5,67591,0,"0","","",
6,67592,69495,"3",6,69495,0,"0","","",
7,69496,71536,"4",7,69938,0,"1","","",
8,83424,87651,"1",8,87651,0,"3","","",
9,87652,88394,"2",9,88394,0,"0","","",
10,88395,88773,"3",10,88773,0,"0","","",
11,88774,90338,"4",11,90338,0,"0","","",
12,98205,102951,"1",12,102951,0,"2","","",
13,102952,103835,"2",13,103835,0,"0","","",
14,103836,106079,"3",14,106079,0,"0","","",
15,106080,106862,"4",15,106862,0,"0","","",
16,117992,123062,"1",,,,,,,
17,123063,123929,"2",,,,,,,
18,123930,124575,"3",,,,,,,
19,124576,126582,"4",,,,,,,
20,134508,139637,"1",,,,,,,
21,139638,140589,"2",,,,,,,
22,140590,143683,"3",,,,,,,
23,143684,145078,"4",,,,,,,
24,154595,159901,"1",,,,,,,
25,159902,160717,"2",,,,,,,
26,160718,161159,"3",,,,,,,
27,161160,162996,"4",,,,,,,
28,172780,177275,"1",,,,,,,
29,177276,178261,"2",,,,,,,
30,178262,180029,"3",,,,,,,
31,180030,181084,"4",,,,,,,
32,189763,195329,"1",,,,,,,
33,195330,196009,"2",,,,,,,
34,196010,196927,"3",,,,,,,
35,196928,198560,"4",,,,,,,
36,207114,212295,"1",,,,,,,
37,212296,213349,"2",,,,,,,
38,213350,213893,"3",,,,,,,
39,213894,217226,"4",,,,,,,
40,228968,234769,"1",,,,,,,
41,234770,235381,"2",,,,,,,
42,235382,235721,"3",,,,,,,
43,235722,238850,"4",,,,,,,
44,247920,252993,"1",,,,,,,
45,252994,253877,"2",,,,,,,
46,253878,254387,"3",,,,,,,
47,254388,256258,"4",,,,,,,
