phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks
0,56582,61472,1,0,56582,61471,1
1,61472,62253,2,1,61472,62252,0
2,62254,64328,3,2,62253,64327,0
3,64328,66438,4,3,64328,66438,0
4,75834,80784,1,4,75834,80783,1
5,80784,81702,2,5,80784,81701,1
6,81702,81906,3,6,81702,81905,0
7,81907,84694,4,7,81906,84694,0
8,96622,101626,1,8,96622,101625,1
9,101627,102476,2,9,101626,102475,1
10,102476,103768,3,10,102476,103767,0
11,103768,107853,4,11,103768,107853,0
12,131757,136646,1,12,131757,136645,0
13,136646,137631,2,13,136646,137630,0
14,137631,137631,3,14,137631,137631,0
15,137631,141644,4,15,137631,141644,0
16,154146,159290,1,,,,
17,159290,160003,2,,,,
18,160004,160411,3,,,,
19,160411,165342,4,,,,
20,175100,179452,1,,,,
21,179452,180336,2,,,,
22,180336,180438,3,,,,
23,180438,185951,4,,,,
24,197188,202538,1,,,,
25,202538,203251,2,,,,
26,203252,203625,3,,,,
27,203626,206414,4,,,,
28,217275,221782,1,,,,
29,221782,222801,2,,,,
30,222802,223006,3,,,,
31,223006,229058,4,,,,
32,240699,245752,1,,,,
33,245752,246537,2,,,,
34,246537,247281,3,,,,
35,247282,251158,4,,,,
36,261987,267750,1,,,,
37,267750,268692,2,,,,
38,268693,269824,3,,,,
39,269824,273287,4,,,,
40,286444,290700,1,,,,
41,290700,291550,2,,,,
42,291550,292060,3,,,,
43,292060,295628,4,,,,
44,306097,310454,1,,,,
45,310454,311304,2,,,,
46,311304,311472,3,,,,
47,311473,319804,4,,,,
