phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks
0,50805,55794,1,0,50805,55793,2
1,55794,56610,2,1,55794,56609,0
2,56610,56881,3,2,56610,56880,0
3,56882,58650,4,3,56881,58650,0
4,67689,72964,1,4,67689,72963,2
5,72964,75106,2,5,72964,75105,0
6,75106,83129,3,6,75106,83128,3
7,83130,85782,4,7,83129,85782,1
8,98586,102680,1,8,98586,102679,1
9,102680,103360,2,9,102680,103359,0
10,103360,103360,3,10,103360,103360,0
11,103360,105740,4,11,103360,105740,1
12,115737,119816,1,12,115737,119815,1
13,119816,120700,2,13,119816,120699,0
14,120700,120700,3,14,120700,120700,0
15,120700,122842,4,15,120700,122842,0
16,133121,136986,1,,,,
17,136986,137700,2,,,,
18,137700,137835,3,,,,
19,137835,140284,4,,,,
20,150038,153884,1,,,,
21,153884,154870,2,,,,
22,154870,154869,3,,,,
23,154870,157692,4,,,,
24,167855,172176,1,,,,
25,172176,172924,2,,,,
26,172924,173128,3,,,,
27,173128,174998,4,,,,
28,185006,189720,1,,,,
29,189720,190536,2,,,,
30,190536,190536,3,,,,
31,190536,193120,4,,,,
32,205960,211174,1,,,,
33,211174,211956,2,,,,
34,211956,213213,3,,,,
35,213213,214948,4,,,,
36,224479,228922,1,,,,
37,228922,229840,2,,,,
38,229840,230826,3,,,,
39,230826,232968,4,,,,
40,247235,251668,1,,,,
41,251668,252450,2,,,,
42,252450,252517,3,,,,
43,252518,255714,4,,,,
44,266587,270912,1,,,,
45,270912,271592,2,,,,
46,271592,271592,3,,,,
47,271592,274312,4,,,,
