phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,54722,60179,"1",0,60179,0,"1","","",
1,60180,60927,"2",1,60927,0,"0","","",
2,60928,60961,"3",2,60961,0,"0","","",
3,60962,63778,"4",3,63778,0,"0","","",
4,71839,78437,"1",4,78437,0,"2","","",
5,78438,79287,"2",5,79287,0,"0","","",
6,79288,80443,"3",6,80443,0,"0","","",
7,80444,81736,"4",7,81736,0,"0","","",
8,91559,96423,"1",8,96423,0,"2","","",
9,96424,97205,"2",9,97205,0,"0","","",
10,97206,97749,"3",10,97749,0,"0","","",
11,97750,100130,"4",11,100130,0,"0","","",
12,109043,114137,"1",12,114137,0,"3","","",
13,114138,115157,"2",13,115157,0,"0","","",
14,115158,116041,"3",14,116041,0,"0","","",
15,116042,121380,"4",15,121380,0,"1","","",
16,130464,135149,"1",,,,,,,
17,135150,136679,"2",,,,,,,
18,136680,136713,"3",,,,,,,
19,136714,139264,"4",,,,,,,
20,147948,152489,"1",,,,,,,
21,152490,153509,"2",,,,,,,
22,153510,153985,"3",,,,,,,
23,153986,157522,"4",,,,,,,
24,165966,170335,"1",,,,,,,
25,170336,171767,"2",,,,,,,
26,171768,171801,"3",,,,,,,
27,171802,174420,"4",,,,,,,
28,184284,190365,"1",,,,,,,
29,190366,191385,"2",,,,,,,
30,191386,191759,"3",,,,,,,
31,191760,197948,"4",,,,,,,
32,207440,212465,"1",,,,,,,
33,212466,213757,"2",,,,,,,
34,213758,213791,"3",,,,,,,
35,213792,218225,"4",,,,,,,
36,227294,232627,"1",,,,,,,
37,232628,234089,"2",,,,,,,
38,234090,234123,"3",,,,,,,
39,234124,242120,"4",,,,,,,
40,252686,256869,"1",,,,,,,
41,256870,257854,"2",,,,,,,
42,257855,258399,"3",,,,,,,
43,258400,265500,"4",,,,,,,
44,272273,277076,"1",,,,,,,
45,277077,278663,"2",,,,,,,
46,278664,282811,"3",,,,,,,
47,282812,287878,"4",,,,,,,
