phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,76972,81599,"1",0,76972,0,"1","0","",
1,81600,82245,"2",1,82245,0,"0","0","",
2,82246,82993,"3",2,82993,0,"0","0","",
3,82994,90542,"4",3,90542,0,"1","0","",
4,102164,106861,"1",4,106861,0,"1","0","",
5,106862,107643,"2",5,107643,0,"1","0","",
6,107644,108629,"3",6,108629,0,"0","0","",
7,108630,114274,"4",7,114274,0,"2","0","",
8,126722,131613,"1",8,131613,0,"1","0","",
9,131614,132327,"2",9,132327,0,"0","0","",
10,132328,133177,"3",10,133177,0,"0","0","",
11,133178,136204,"4",11,136204,0,"0","0","",
12,152214,156977,"1",12,156977,0,"2","0","",
13,156978,157895,"2",13,157895,0,"0","0","",
14,157896,158303,"3",14,158303,0,"0","0","",
15,158304,162384,"4",15,162384,0,"1","0","",
16,180642,185503,"1",,,,,,,
17,185504,186149,"2",,,,,,,
18,186150,187237,"3",,,,,,,
19,187238,193494,"4",,,,,,,
20,207903,213621,"1",,,,,,,
21,213622,214607,"2",,,,,,,
22,214608,215321,"3",,,,,,,
23,215322,218042,"4",,,,,,,
24,237116,242215,"1",,,,,,,
25,242216,243065,"2",,,,,,,
26,243066,249865,"3",,,,,,,
27,249866,251532,"4",,,,,,,
28,268497,273325,"1",,,,,,,
29,273326,274107,"2",,,,,,,
30,274108,274480,"3",,,,,,,
31,274481,277406,"4",,,,,,,
32,297326,302327,"1",,,,,,,
33,302328,302904,"2",,,,,,,
34,302905,302973,"3",,,,,,,
35,302974,307836,"4",,,,,,,
36,322249,327928,"1",,,,,,,
37,327929,328677,"2",,,,,,,
38,328678,328847,"3",,,,,,,
39,328848,344012,"4",,,,,,,
40,357252,362472,"1",,,,,,,
41,362473,363152,"2",,,,,,,
42,363153,363901,"3",,,,,,,
43,363902,368594,"4",,,,,,,
44,382878,388653,"1",,,,,,,
45,388654,389400,"2",,,,,,,
46,389401,390183,"3",,,,,,,
47,390184,397392,"4",,,,,,,
