phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,57902,61879,"1",0,57902,61878,"2",
1,61880,62645,"2",1,61879,62644,"0",
2,62646,65415,"3",2,62645,65414,"1",
3,65416,66164,"4",3,65415,66164,"0",
4,74091,78846,"1",4,74091,78845,"1",
5,78846,79832,"2",5,78846,79831,"0",
6,79832,81905,"3",6,79832,81904,"0",
7,81906,84660,"4",7,81905,84660,"1",
8,95679,101083,"1",8,95679,101082,"1",
9,101084,101659,"2",9,101083,101658,"0",
10,101660,104039,"3",10,101659,0,"1",
11,104040,106046,"4",11,104039,106046,"0",
12,114531,119068,"1",12,114531,119067,"1",
13,119068,120088,"2",13,119068,120087,"0",
14,120088,123351,"3",14,120088,123350,"1",
15,123352,124916,"4",15,123351,124916,"1",
16,136019,139196,"1",,,,,
17,139196,140250,"2",,,,,
18,140250,142018,"3",,,,,
19,142659,143752,"4",,,,,
20,153836,157420,"1",,,,,
21,157420,158474,"2",,,,,
22,158474,158847,"3",,,,,
23,158848,160956,"4",,,,,
24,171020,175202,"1",,,,,
25,175202,176051,"2",,,,,
26,176052,177853,"3",,,,,
27,177854,179180,"4",,,,,
28,188171,193221,"1",,,,,
29,193222,194140,"2",,,,,
30,194140,194514,"3",,,,,
31,195636,196894,"4",,,,,
32,206088,210459,"1",,,,,
33,210460,211173,"2",,,,,
34,211174,211955,"3",,,,,
35,211956,214377,"4",,,,,
36,224074,232526,"1",,,,,
37,232526,235144,"2",,,,,
38,235144,236163,"3",,,,,
39,236164,237388,"4",,,,,
40,247998,262684,"1",,,,,
41,262684,263737,"2",,,,,
42,263738,264621,"3",,,,,
43,264622,265948,"4",,,,,
44,273323,277542,"1",,,,,
45,277542,278494,"2",,,,,
46,278495,279695,"3",,,,,
47,279696,281996,"4",,,,,
