phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,53022,57018,"1",0,53022,57017,"3",
1,57018,57800,"2",1,57018,57799,"0",
2,57800,59227,"3",2,57800,59226,"0",
3,59228,61166,"4",3,59227,61166,"1",
4,69838,74442,"1",4,69838,74441,"3",
5,74443,75343,"2",5,74442,75342,"0",
6,75344,76778,"3",6,75343,76777,"0",
7,76779,78883,"4",7,76778,78883,"1",
8,90859,95363,"1",8,90859,95362,"2",
9,95364,96117,"2",9,95363,96116,"0",
10,96118,97065,"3",10,96117,97064,"0",
11,97066,98398,"4",11,97065,98398,"0",
12,105441,110602,"1",12,105441,110601,"1",
13,110602,111690,"2",13,110602,111689,"0",
14,111690,112547,"3",14,111690,112546,"0",
15,112548,115708,"4",15,112547,115708,"0",
16,125828,130288,"1",,,,,
17,130288,131103,"2",,,,,
18,131104,133347,"3",,,,,
19,133348,134188,"4",,,,,
20,143044,148215,"1",,,,,
21,148216,149260,"2",,,,,
22,149260,152086,"3",,,,,
23,152087,153168,"4",,,,,
24,164266,168803,"1",,,,,
25,168804,169353,"2",,,,,
26,169354,172473,"3",,,,,
27,172474,173740,"4",,,,,
28,182951,188428,"1",,,,,
29,188428,189414,"2",,,,,
30,189414,191759,"3",,,,,
31,191760,192542,"4",,,,,
32,200936,205700,"1",,,,,
33,205700,206515,"2",,,,,
34,206516,209077,"3",,,,,
35,209078,209848,"4",,,,,
36,219603,223822,"1",,,,,
37,223822,224841,"2",,,,,
38,224842,227017,"3",,,,,
39,227018,228242,"4",,,,,
40,238172,242522,"1",,,,,
41,242522,243745,"2",,,,,
42,243746,246194,"3",,,,,
43,246194,247282,"4",,,,,
44,257892,262514,"1",,,,,
45,262514,263976,"2",,,,,
46,263976,266934,"3",,,,,
47,266934,267784,"4",,,,,
