phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,65097,70311,"1",0,70977,0,"1","","",
1,70312,71093,"2",1,71093,0,"0","","",
2,71094,71637,"3",2,71637,0,"0","","",
3,71638,73746,"4",3,73746,0,"0","","",
4,83115,90813,"1",4,90813,0,"1","","",
5,90814,91935,"2",5,91935,0,"0","","",
6,91936,93397,"3",6,93397,0,"0","","",
7,93398,94792,"4",7,94792,0,"1","","",
8,105938,111077,"1",8,111077,0,"2","","",
9,111078,112097,"2",9,112097,0,"0","","",
10,112098,112301,"3",10,112301,0,"0","","",
11,112302,115770,"4",11,115770,0,"0","","",
12,127493,133619,"1",12,133619,0,"2","","",
13,133620,134265,"2",13,134265,0,"0","","",
14,134266,137597,"3",14,137597,0,"1","","",
15,137598,138822,"4",15,138822,0,"1","","",
16,149080,153951,"1",,,,,,,
17,153952,154665,"2",,,,,,,
18,154666,155413,"3",,,,,,,
19,155414,157590,"4",,,,,,,
20,166999,172583,"1",,,,,,,
21,172584,173501,"2",,,,,,,
22,173502,173909,"3",,,,,,,
23,173910,178194,"4",,,,,,,
24,197763,203523,"1",,,,,,,
25,203524,204339,"2",,,,,,,
26,204340,204611,"3",,,,,,,
27,204612,214030,"4",,,,,,,
28,224223,229635,"1",,,,,,,
29,229636,230519,"2",,,,,,,
30,230520,230927,"3",,,,,,,
31,230928,234158,"4",,,,,,,
32,248280,254761,"1",,,,,,,
33,254762,255543,"2",,,,,,,
34,255544,255985,"3",,,,,,,
35,255986,268328,"4",,,,,,,
36,279745,285088,"1",,,,,,,
37,285089,286040,"2",,,,,,,
38,286041,286245,"3",,,,,,,
39,286246,289136,"4",,,,,,,
40,305103,309943,"1",,,,,,,
41,309944,310792,"2",,,,,,,
42,310793,311608,"3",,,,,,,
43,311609,314772,"4",,,,,,,
44,324323,329832,"1",,,,,,,
45,329833,330615,"2",,,,,,,
46,330616,330920,"3",,,,,,,
47,330921,333506,"4",,,,,,,
