phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,57291,62253,"1",0,62253,0,"2","","",
1,62254,62933,"2",1,62933,0,"0","","",
2,62934,63817,"3",2,63817,0,"0","","",
3,63818,64940,"4",3,64940,0,"0","","",
4,72907,78335,"1",4,78335,0,"3","","",
5,78336,79117,"2",5,79117,0,"0","","",
6,79118,79831,"3",6,79831,0,"0","","",
7,79832,81872,"4",7,81872,0,"0","","",
8,90091,95267,"1",8,95267,0,"2","","",
9,95268,95947,"2",9,95947,0,"0","","",
10,95948,96797,"3",10,96797,0,"1","","",
11,96798,99246,"4",11,99246,0,"2","","",
12,108342,114579,"1",12,114579,0,"1","","",
13,114580,115463,"2",13,115463,0,"0","","",
14,115464,144737,"3",14,144737,0,"9","","",
15,144738,145758,"4",15,145758,0,"1","","",
16,155856,161771,"1",,,,,,,
17,161772,162519,"2",,,,,,,
18,162520,165205,"3",,,,,,,
19,165206,166260,"4",,,,,,,
20,175576,180947,"1",,,,,,,
21,180948,181831,"2",,,,,,,
22,181832,185809,"3",,,,,,,
23,185810,186796,"4",,,,,,,
24,198064,203693,"1",,,,,,,
25,203694,204441,"2",,,,,,,
26,204442,207059,"3",,,,,,,
27,207060,208182,"4",,,,,,,
28,216550,222291,"1",,,,,,,
29,222292,223277,"2",,,,,,,
30,223278,227017,"3",,,,,,,
31,227018,228208,"4",,,,,,,
32,242976,248437,"1",,,,,,,
33,248438,249117,"2",,,,,,,
34,249118,249661,"3",,,,,,,
35,249662,253062,"4",,,,,,,
36,262028,267171,"1",,,,,,,
37,267172,268123,"2",,,,,,,
38,268124,269381,"3",,,,,,,
39,269382,270844,"4",,,,,,,
40,280214,285871,"1",,,,,,,
41,285872,286551,"2",,,,,,,
42,286552,289509,"3",,,,,,,
43,289510,290394,"4",,,,,,,
44,299767,306067,"1",,,,,,,
45,306068,307120,"2",,,,,,,
46,307121,320448,"3",,,,,,,
47,320449,321844,"4",,,,,,,
