phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,75106,79457,"1",0,79457,0,"2","","",
1,79458,80239,"2",1,80239,0,"0","","",
2,80240,80511,"3",2,80511,0,"0","","",
3,80512,82518,"4",3,82518,0,"0","","",
4,91689,96151,"1",4,96151,0,"1","","",
5,96152,96865,"2",5,96865,0,"0","","",
6,96866,97477,"3",6,97477,0,"0","","",
7,97478,99382,"4",7,97478,0,"0","","",
8,107271,112369,"1",8,112369,0,"1","","",
9,112370,112947,"2",9,112947,0,"0","","",
10,112948,113185,"3",10,113185,0,"0","","",
11,113186,116280,"4",11,116280,0,"0","","",
12,127392,132667,"1",12,132667,0,"2","","",
13,132668,133993,"2",13,133993,0,"0","","",
14,133994,134061,"3",14,134061,0,"0","","",
15,134062,136238,"4",15,136238,0,"2","","",
16,146744,151979,"1",,,,,,,
17,151980,152693,"2",,,,,,,
18,152694,152727,"3",,,,,,,
19,152728,155006,"4",,,,,,,
20,164028,168639,"1",,,,,,,
21,168640,169421,"2",,,,,,,
22,169422,170237,"3",,,,,,,
23,170238,172448,"4",,,,,,,
24,182612,187883,"1",,,,,,,
25,187884,188631,"2",,,,,,,
26,188632,188903,"3",,,,,,,
27,188904,191250,"4",,,,,,,
28,200664,205903,"1",,,,,,,
29,205904,206719,"2",,,,,,,
30,206720,207943,"3",,,,,,,
31,207944,219352,"4",,,,,,,
32,232696,237251,"1",,,,,,,
33,237252,237931,"2",,,,,,,
34,237932,238203,"3",,,,,,,
35,238204,240244,"4",,,,,,,
36,249947,254659,"1",,,,,,,
37,254660,255611,"2",,,,,,,
38,255612,255781,"3",,,,,,,
39,255782,257856,"4",,,,,,,
40,267498,272611,"1",,,,,,,
41,272612,273291,"2",,,,,,,
42,273292,273597,"3",,,,,,,
43,273598,275956,"4",,,,,,,
44,284916,290359,"1",,,,,,,
45,290360,291752,"2",,,,,,,
46,291753,291787,"3",,,,,,,
47,291788,295075,"4",,,,,,,
