phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,40137,44307,"1",0,40137,44306,"2",
1,44308,44879,"2",1,44307,44878,"0",
2,44880,44981,"3",2,44879,44980,"0",
3,44982,48671,"4",3,44981,48671,"0",
4,57321,61891,"1",4,57321,61890,"2",
5,61892,62725,"2",5,61891,62724,"0",
6,62726,62865,"3",6,62725,62864,"0",
7,62866,65280,"4",7,62865,65280,"0",
8,75172,79542,"1",8,75172,79541,"0",
9,79543,80477,"2",9,79542,79542,"0",
10,80478,80545,"3",10,80477,80544,"0",
11,80546,83266,"4",11,80545,83266,"0",
12,93791,97894,"1",12,93791,97893,"2",
13,97895,99483,"2",13,97894,99482,"0",
14,99484,102135,"3",14,99483,102134,"0",
15,102136,103224,"4",15,102135,103224,"1",
16,112376,116613,"1",,,,,
17,116614,117197,"2",,,,,
18,117198,117265,"3",,,,,
19,117266,119612,"4",,,,,
20,128559,132795,"1",,,,,
21,132796,133687,"2",,,,,
22,133688,133721,"3",,,,,
23,133722,136442,"4",,,,,
24,145342,149711,"1",,,,,
25,149712,150653,"2",,,,,
26,150654,150857,"3",,,,,
27,150858,154088,"4",,,,,
28,162459,167463,"1",,,,,
29,167464,168129,"2",,,,,
30,168130,168401,"3",,,,,
31,168402,170612,"4",,,,,
32,180811,185081,"1",,,,,
33,185082,185775,"2",,,,,
34,185776,186217,"3",,,,,
35,186218,190332,"4",,,,,
36,200564,205101,"1",,,,,
37,205102,206345,"2",,,,,
38,206346,206413,"3",,,,,
39,206414,208896,"4",,,,,
40,218682,222920,"1",,,,,
41,222920,224059,"2",,,,,
42,224060,224195,"3",,,,,
43,224196,227421,"4",,,,,
44,238335,243839,"1",,,,,
45,243840,244507,"2",,,,,
46,244508,244765,"3",,,,,
47,244766,247622,"4",,,,,
