phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,90676,95302,"1",0,95302,0,"1","","","","",
1,95302,96117,"2",1,96117,0,"0","","","","",
2,96118,97035,"3",2,97035,0,"0","","","","",
3,97036,99484,"4",3,99484,0,"1","","","","",
4,109862,114783,"1",4,114783,0,"1","","","","",
5,114784,115565,"2",5,115565,0,"0","","","","",
6,115566,116211,"3",6,116211,0,"0","","","","",
7,116212,120768,"4",7,120768,0,"0","","","","",
8,130449,134979,"1",8,134979,0,"1","","","","",
9,134980,135829,"2",9,135829,0,"0","","","","",
10,135830,138719,"3",10,138719,0,"0","","","","",
11,138720,139842,"4",11,139842,0,"0","","","","",
12,152171,156297,"1",12,156297,0,"2","","","","",
13,156298,157113,"2",13,157113,0,"0","","","","",
14,157114,158099,"3",14,158099,0,"0","","","","",
15,158100,160480,"4",15,160480,0,"0","","","","",
16,170488,175235,"1",,,,,,,,,
17,175236,176017,"2",,,,,,,,,
18,176018,178771,"3",,,,,,,,,
19,178772,179826,"4",,,,,,,,,
20,189742,194989,"1",,,,,,,,,
21,194990,195839,"2",,,,,,,,,
22,195840,196417,"3",,,,,,,,,
23,196418,199750,"4",,,,,,,,,
24,209728,214573,"1",,,,,,,,,
25,214574,215389,"2",,,,,,,,,
26,215390,218415,"3",,,,,,,,,
27,218416,219810,"4",,,,,,,,,
28,231350,236469,"1",,,,,,,,,
29,236470,237115,"2",,,,,,,,,
30,237116,240889,"3",,,,,,,,,
31,240890,241706,"4",,,,,,,,,
32,252371,257277,"1",,,,,,,,,
33,257278,258159,"2",,,,,,,,,
34,258160,261458,"3",,,,,,,,,
35,261459,262548,"4",,,,,,,,,
36,273759,278152,"1",,,,,,,,,
37,278153,279104,"2",,,,,,,,,
38,279140,282131,"3",,,,,,,,,
39,282132,282948,"4",,,,,,,,,
40,300419,305047,"1",,,,,,,,,
41,305048,305829,"2",,,,,,,,,
42,305830,306815,"3",,,,,,,,,
43,306816,308856,"4",,,,,,,,,
44,321273,325583,"1",,,,,,,,,
45,325584,326432,"2",,,,,,,,,
46,326433,328677,"3",,,,,,,,,
47,328678,329664,"4",,,,,,,,,
