phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,89992,94588,"1",0,94588,0,"2","","","","",
1,94588,95437,"2",1,95437,0,"1","","","","",
2,95438,95879,"3",2,95879,0,"0","","","","",
3,95880,98498,"4",3,98498,0,"0","","","","",
4,107543,111859,"1",4,111859,0,"2","","","","",
5,111860,112777,"2",5,112777,0,"0","","","","",
6,112778,112981,"3",6,112981,0,"0","","","","",
7,112982,116552,"4",7,116552,0,"1","","","","",
8,136139,140929,"1",8,140929,0,"1","","","","",
9,140930,141779,"2",9,141779,0,"0","","","","",
10,141780,143649,"3",10,143649,0,"0","","","","",
11,143650,144500,"4",11,144500,0,"1","","","","",
12,155858,160411,"1",12,160411,0,"1","","","","",
13,160412,161295,"2",13,161295,0,"0","","","","",
14,161296,163913,"3",14,163913,0,"0","","","","",
15,163914,165036,"4",15,165036,0,"0","","","","",
16,177880,183259,"1",,,,,,,,,
17,183260,184279,"2",,,,,,,,,
18,184280,186421,"3",,,,,,,,,
19,186422,187238,"4",,,,,,,,,
20,197832,203251,"1",,,,,,,,,
21,203252,203931,"2",,,,,,,,,
22,203932,203932,"3",,,,,,,,,
23,203932,207502,"4",,,,,,,,,
24,218420,224161,"1",,,,,,,,,
25,224162,225419,"2",,,,,,,,,
26,225420,225657,"3",,,,,,,,,
27,225658,230010,"4",,,,,,,,,
28,244247,249389,"1",,,,,,,,,
29,249390,250205,"2",,,,,,,,,
30,250206,251803,"3",,,,,,,,,
31,251804,252722,"4",,,,,,,,,
32,263132,268293,"1",,,,,,,,,
33,268294,269176,"2",,,,,,,,,
34,269177,271013,"3",,,,,,,,,
35,271014,272000,"4",,,,,,,,,
36,282051,286312,"1",,,,,,,,,
37,286313,287400,"2",,,,,,,,,
38,287401,290155,"3",,,,,,,,,
39,290156,290768,"4",,,,,,,,,
40,304307,309296,"1",,,,,,,,,
41,309297,310248,"2",,,,,,,,,
42,310249,312085,"3",,,,,,,,,
43,312086,313718,"4",,,,,,,,,
44,332635,337891,"1",,,,,,,,,
45,337892,338911,"2",,,,,,,,,
46,338912,340951,"3",,,,,,,,,
47,340952,344726,"4",,,,,,,,,
