phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,90076,94961,"1",0,94961,0,"2","0","","","",
1,94962,95709,"2",1,95709,0,"0","0","","","",
2,95710,98565,"3",2,98565,0,"1","0","","","",
3,98566,99688,"4",3,99688,0,"0","0","","","",
4,109996,115055,"1",4,115055,0,"2","0","","","",
5,115056,115769,"2",5,115769,0,"0","0","","","",
6,115770,116551,"3",6,116551,0,"0","0","","","",
7,116552,123352,"4",7,123352,0,"2","0","","","",
8,137806,142085,"1",8,142085,0,"1","0","","","",
9,142086,142901,"2",9,142901,0,"0","0","","","",
10,142902,143819,"3",10,143819,0,"0","0","","","",
11,143820,147356,"4",11,147356,0,"0","0","","","",
12,159746,164627,"1",12,164627,0,"2","0","","","",
13,164628,165307,"2",13,165307,0,"0","0","","","",
14,165308,166225,"3",14,166225,0,"0","0","","","",
15,166226,173196,"4",15,173196,0,"1","0","","","",
16,183836,189107,"1",,,,,,,,,
17,189108,189889,"2",,,,,,,,,
18,189890,192643,"3",,,,,,,,,
19,192644,199206,"4",,,,,,,,,
20,213566,219571,"1",,,,,,,,,
21,219572,220421,"2",,,,,,,,,
22,220422,225743,"3",,,,,,,,,
23,225744,248914,"4",,,,,,,,,
24,261814,267647,"1",,,,,,,,,
25,267648,268361,"2",,,,,,,,,
26,268362,269143,"3",,,,,,,,,
27,269144,275876,"4",,,,,,,,,
28,291878,297227,"1",,,,,,,,,
29,297228,298077,"2",,,,,,,,,
30,298078,298383,"3",,,,,,,,,
31,298384,319940,"4",,,,,,,,,
32,333853,338707,"1",,,,,,,,,
33,338708,338707,"2",,,,,,,,,
34,338708,339285,"3",,,,,,,,,
35,339286,350030,"4",,,,,,,,,
36,362415,367675,"1",,,,,,,,,
37,367676,368355,"2",,,,,,,,,
38,368356,369715,"3",,,,,,,,,
39,369716,374612,"4",,,,,,,,,
40,386773,392392,"1",,,,,,,,,
41,392393,393107,"2",,,,,,,,,
42,393108,394568,"3",,,,,,,,,
43,394569,401540,"4",,,,,,,,,
44,416936,422007,"1",,,,,,,,,
45,422008,422856,"2",,,,,,,,,
46,422857,423639,"3",,,,,,,,,
47,423640,439688,"4",,,,,,,,,
