phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,88722,93805,"1",0,93805,0,"1","","","","",
1,93806,94587,"2",1,94587,0,"0","","","","",
2,94588,95029,"3",2,95029,0,"0","","","","",
3,95030,98124,"4",3,98124,0,"0","","","","",
4,112784,117503,"1",4,117503,0,"2","","","","",
5,117504,118319,"2",5,118319,0,"0","","","","",
6,118320,118319,"3",6,118320,0,"0","","","","",
7,118320,126140,"4",7,126140,0,"1","","","","",
8,145146,150653,"1",8,150653,0,"1","","","","",
9,150654,151435,"2",9,151435,0,"0","","","","",
10,151436,151741,"3",10,151741,0,"0","","","","",
11,151742,153510,"4",11,153510,0,"0","","","","",
12,162630,168231,"1",12,168231,0,"2","","","","",
13,168232,169081,"2",13,169081,0,"0","","","","",
14,169082,170033,"3",14,170033,0,"0","","","","",
15,170033,185096,"4",15,185096,0,"0","","","","",
16,200134,205767,"1",,,,,,,,,
17,205768,206617,"2",,,,,,,,,
18,206618,206787,"3",,,,,,,,,
19,206788,226236,"4",,,,,,,,,
20,237972,242895,"1",,,,,,,,,
21,242896,243983,"2",,,,,,,,,
22,243984,244187,"3",,,,,,,,,
23,244188,246296,"4",,,,,,,,,
24,257548,262819,"1",,,,,,,,,
25,262820,263635,"2",,,,,,,,,
26,263636,263975,"3",,,,,,,,,
27,263976,279242,"4",,,,,,,,,
28,301086,306135,"1",,,,,,,,,
29,306136,306883,"2",,,,,,,,,
30,306884,307256,"3",,,,,,,,,
31,307257,318138,"4",,,,,,,,,
32,333267,338605,"1",,,,,,,,,
33,338606,339557,"2",,,,,,,,,
34,339558,339624,"3",,,,,,,,,
35,339625,344828,"4",,,,,,,,,
36,369403,373829,"1",,,,,,,,,
37,373830,374883,"2",,,,,,,,,
38,374884,374883,"3",,,,,,,,,
39,374884,378454,"4",,,,,,,,,
40,400233,405381,"1",,,,,,,,,
41,405382,406095,"2",,,,,,,,,
42,406096,406095,"3",,,,,,,,,
43,406096,408782,"4",,,,,,,,,
44,442309,447235,"1",,,,,,,,,
45,447236,448051,"2",,,,,,,,,
46,448052,448119,"3",,,,,,,,,
47,448120,452642,"4",,,,,,,,,
