phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,122284,128043,"1",0,128043,0,"2","","","","",
1,128044,128995,"2",1,128995,0,"0","","","","",
2,128996,131783,"3",2,128996,0,"1","","","","",
3,131784,132702,"4",3,132702,0,"0","","","","",
4,142710,148035,"1",4,148035,0,"2","","","","",
5,148036,148885,"2",5,148885,0,"0","","","","",
6,148886,152489,"3",6,152489,0,"0","","","","",
7,152490,154938,"4",7,154938,0,"1","","","","",
8,165332,171393,"1",8,171393,0,"1","","","","",
9,171394,172175,"2",9,172175,0,"1","","","","",
10,172176,175133,"3",10,175133,0,"0","","","","",
11,175134,176358,"4",11,176358,0,"1","","","","",
12,186720,192983,"1",12,192983,0,"4","","","","",
13,192984,194003,"2",13,194003,0,"1","","","","",
14,194004,196689,"3",14,196689,0,"0","","","","",
15,196723,197914,"4",15,197914,0,"0","","","","",
16,209776,215321,"1",,,,,,,,,
17,215322,216103,"2",,,,,,,,,
18,216104,219027,"3",,,,,,,,,
19,219028,220354,"4",,,,,,,,,
20,230396,235789,"1",,,,,,,,,
21,235790,236911,"2",,,,,,,,,
22,236912,239801,"3",,,,,,,,,
23,239802,242046,"4",,,,,,,,,
24,252352,258431,"1",,,,,,,,,
25,258432,259350,"2",,,,,,,,,
26,259351,262445,"3",,,,,,,,,
27,262446,263704,"4",,,,,,,,,
28,275776,281655,"1",,,,,,,,,
29,281656,282675,"2",,,,,,,,,
30,282676,283184,"3",,,,,,,,,
31,283185,287742,"4",,,,,,,,,
32,300334,305999,"1",,,,,,,,,
33,306000,307019,"2",,,,,,,,,
34,307020,309840,"3",,,,,,,,,
35,309841,311236,"4",,,,,,,,,
36,328996,333776,"1",,,,,,,,,
37,333777,334728,"2",,,,,,,,,
38,334729,335987,"3",,,,,,,,,
39,335988,337994,"4",,,,,,,,,
40,348816,353837,"1",,,,,,,,,
41,353838,354653,"2",,,,,,,,,
42,354654,357237,"3",,,,,,,,,
43,357238,358156,"4",,,,,,,,,
44,369603,374237,"1",,,,,,,,,
45,374238,375053,"2",,,,,,,,,
46,375054,377535,"3",,,,,,,,,
47,377536,379236,"4",,,,,,,,,
