phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,88079,92513,"1",0,90372,0,"2","","","","",
1,92514,93601,"2",1,93601,0,"0","","","","",
2,93602,96253,"3",2,96253,0,"1","","","","",
3,96254,97546,"4",3,97546,0,"1","","","","",
4,107261,113015,"1",4,107261,0,"1","","","","",
5,113016,113865,"2",5,113865,0,"0","","","","",
6,113866,116619,"3",6,116619,0,"0","","","","",
7,116620,117708,"4",7,117708,128689,"0","","","","",
8,128349,133619,"1",8,131104,0,"3","","","","",
9,133620,134435,"2",9,134435,0,"0","","","","",
10,134436,136713,"3",10,136713,0,"0","","","","",
11,136714,137802,"4",11,137802,0,"0","","","","",
12,149436,155413,"1",12,155413,0,"2","","","","",
13,155414,156399,"2",13,156399,0,"0","","","","",
14,156400,159051,"3",14,159051,0,"0","","","","",
15,159052,160242,"4",15,160242,0,"0","","","","",
16,171324,176969,"1",,,,,,,,,
17,176970,177819,"2",,,,,,,,,
18,177820,180097,"3",,,,,,,,,
19,180098,181458,"4",,,,,,,,,
20,192012,197947,"1",,,,,,,,,
21,197948,199069,"2",,,,,,,,,
22,199070,201313,"3",,,,,,,,,
23,201314,202368,"4",,,,,,,,,
24,214668,220149,"1",,,,,,,,,
25,220150,220965,"2",,,,,,,,,
26,220966,223583,"3",,,,,,,,,
27,223584,224604,"4",,,,,,,,,
28,236624,242487,"1",,,,,,,,,
29,242488,243337,"2",,,,,,,,,
30,243338,246091,"3",,,,,,,,,
31,246092,247384,"4",,,,,,,,,
32,259046,264315,"1",,,,,,,,,
33,264316,265233,"2",,,,,,,,,
34,265234,267647,"3",,,,,,,,,
35,267648,268974,"4",,,,,,,,,
36,281335,286789,"1",,,,,,,,,
37,286790,287877,"2",,,,,,,,,
38,287878,290155,"3",,,,,,,,,
39,290156,292910,"4",,,,,,,,,
40,306560,312085,"1",,,,,,,,,
41,312086,312901,"2",,,,,,,,,
42,312902,315486,"3",,,,,,,,,
43,315486,316574,"4",,,,,,,,,
44,326980,331839,"1",,,,,,,,,
45,331840,332621,"2",,,,,,,,,
46,332622,335205,"3",,,,,,,,,
47,335206,336532,"4",,,,,,,,,
