phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,93199,98123,"1",0,98123,0,"2","0","","","",
1,98124,98905,"2",1,98905,0,"0","0","","","",
2,98906,99721,"3",2,99721,0,"0","0","","","",
3,99722,101558,"4",3,101558,0,"1","0","","","",
4,123124,129131,"1",4,129131,0,"1","1","","","",
5,129132,130083,"2",5,130083,0,"0","0","","","",
6,130084,130286,"3",6,130286,0,"0","0","","","",
7,130287,133518,"4",7,133518,0,"1","1","","","",
8,146112,151945,"1",8,151945,0,"1","0","","","",
9,151946,152659,"2",9,152659,0,"0","0","","","",
10,152660,152931,"3",10,152931,0,"0","0","","","",
11,152932,155142,"4",11,155142,0,"0","0","","","",
12,170738,176153,"1",12,176153,0,"2","0","","","",
13,176154,176935,"2",13,176935,0,"0","0","","","",
14,176936,177241,"3",14,177241,0,"0","0","","","",
15,177242,179656,"4",15,179656,0,"0","0","","","",
16,192126,197709,"1",,,,,,,,,
17,197710,198491,"2",,,,,,,,,
18,198492,199137,"3",,,,,,,,,
19,199138,202130,"4",,,,,,,,,
20,213680,218790,"1",,,,,,,,,
21,218790,219741,"2",,,,,,,,,
22,219742,220115,"3",,,,,,,,,
23,220116,224978,"4",,,,,,,,,
24,239006,244153,"1",,,,,,,,,
25,244154,245037,"2",,,,,,,,,
26,245038,245037,"3",,,,,,,,,
27,245038,247928,"4",,,,,,,,,
28,263163,268463,"1",,,,,,,,,
29,268464,269347,"2",,,,,,,,,
30,269348,269823,"3",,,,,,,,,
31,269824,273972,"4",,,,,,,,,
32,287988,293317,"1",,,,,,,,,
33,293318,294439,"2",,,,,,,,,
34,294440,294880,"3",,,,,,,,,
35,294881,298010,"4",,,,,,,,,
36,310944,316267,"1",,,,,,,,,
37,316268,317083,"2",,,,,,,,,
38,317084,317355,"3",,,,,,,,,
39,317356,323272,"4",,,,,,,,,
40,339340,344079,"1",,,,,,,,,
41,344080,344963,"2",,,,,,,,,
42,344964,345064,"3",,,,,,,,,
43,345065,345098,"4",,,,,,,,,
44,365617,370735,"1",,,,,,,,,
45,370736,371415,"2",,,,,,,,,
46,371416,371925,"3",,,,,,,,,
47,371926,373592,"4",,,,,,,,,
