phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,51088,56269,1,1,51088,56268,2,0
2,56270,57052,2,2,56269,0,0,0
3,57052,60213,3,3,57052,60212,0,0
4,60214,61574,4,4,60213,61574,1,0
5,69540,74629,1,5,69540,0,2,0
6,74630,75582,2,6,74629,0,0,0
7,75582,78267,3,7,75582,0,0,0
8,78268,79866,4,8,78267,0,0,0
9,89327,94349,1,9,79866,0,2,0
10,94350,95200,2,10,94350,0,1,0
11,95200,98157,3,11,95200,0,0,0
12,98158,100334,4,12,98157,0,0,0
13,110281,116041,1,13,116041,0,1,0
14,116042,116858,2,14,116858,0,0,0
15,116858,120461,3,15,120461,0,2,0
16,120462,121924,4,16,121924,0,2,0
17,132136,138175,1,17,138175,0,1,0
18,138176,138991,2,18,138991,0,0,0
19,138992,142017,3,19,142017,0,0,0
20,142018,143378,4,20,143378,0,1,0
21,151922,157487,1,21,157487,0,2,0
22,157488,158337,2,22,158337,0,0,0
23,158338,161465,3,23,161465,0,0,0
24,161466,162588,4,24,162588,0,0,0
25,175479,180777,1,25,180777,0,1,0
26,180778,181559,2,26,181559,0,0,0
27,181560,184789,3,27,184789,0,0,0
28,184790,185708,4,28,185708,0,1,0
29,196232,201755,1,29,196232,0,2,0
30,201756,202809,2,30,202809,0,0,0
31,202810,206311,3,31,206311,0,0,0
32,206312,207570,4,32,207570,0,1,0
33,218956,224637,1,33,224637,0,2,0
34,224638,225623,2,34,225623,0,0,0
35,225624,228445,3,35,228445,0,0,0
36,228446,229500,4,36,229500,0,0,0
37,239610,244867,1,37,244867,0,2,0
38,244868,245785,2,38,245785,0,0,0
39,245786,248879,3,39,248879,0,0,0
40,248880,249934,4,40,249934,0,0,0
41,259596,264893,1,41,264893,0,2,0
42,264894,265641,2,42,265641,0,0,0
43,265642,269143,3,43,269143,0,0,0
44,269144,270334,4,44,270334,0,1,0
45,280284,285632,1,45,280284,0,2,0
46,285633,286720,2,46,286720,0,0,0
47,286721,289543,3,47,289543,0,0,0
48,289544,291278,4,48,291278,0,1,0
