phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,46016,50999,1,1,50999,0,3,0
2,51000,51679,2,2,51679,0,1,0
3,51680,53005,3,3,53005,0,0,0
4,53006,54536,4,4,54536,0,0,0
5,61862,67455,1,5,67455,0,1,0
6,67456,68237,2,6,68237,0,0,0
7,68238,70039,3,7,70039,0,0,0
8,70040,70719,4,8,70719,0,0,0
9,79883,84557,1,9,84557,0,2,0
10,84558,85339,2,10,85339,0,0,0
11,85340,85985,3,11,85985,0,0,0
12,85986,87176,4,12,87176,0,0,0
13,95332,100571,1,13,100571,0,3,0
14,100572,101455,2,14,101455,0,0,0
15,101456,102305,3,15,102305,0,0,0
16,102306,104278,4,16,104278,0,1,0
17,115152,120393,1,17,120393,0,1,0
18,120394,121141,2,18,121141,0,0,0
19,121142,122127,3,19,122127,0,0,0
20,122128,123624,4,20,123624,0,0,0
21,131602,137019,1,21,137019,0,1,0
22,137020,138073,2,22,138073,0,0,0
23,138074,139977,3,23,139977,0,0,0
24,139978,140726,4,24,140726,0,0,0
25,150354,156671,1,25,156671,0,3,0
26,156672,157317,2,26,157317,0,0,0
27,157318,157895,3,27,157895,0,0,0
28,157896,159256,4,28,159256,0,0,0
29,167436,172277,1,29,172277,0,3,0
30,172278,173161,2,30,173161,0,0,0
31,173162,173671,3,31,173671,0,0,0
32,173672,175848,4,32,175848,0,0,0
33,186956,192745,1,33,192745,0,2,0
34,192746,193289,2,34,193289,0,0,0
35,193290,194955,3,35,194955,0,0,0
36,194956,198968,4,36,198968,0,1,0
37,207844,213111,1,37,213111,0,2,0
38,213112,213961,2,38,213961,0,0,0
39,213962,215967,3,39,215967,0,1,0
40,215968,216988,4,40,216988,0,1,0
41,226430,231709,1,41,231709,0,2,1
42,231710,232321,2,42,232321,0,0,1
43,232322,233681,3,43,233681,0,0,0
44,233682,235042,4,44,235042,0,0,0
45,243480,248471,1,45,248471,0,2,0
46,248472,249423,2,46,249423,0,0,0
47,249424,249933,3,47,249933,0,0,0
48,249934,252416,4,48,252416,0,0,0
