phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,45693,50999,1,1,45693,0,2,0
2,51000,51747,2,2,51747,0,0,0
3,51748,51985,3,3,51985,0,0,0
4,51986,56644,4,4,56644,0,1,0
5,63477,68951,1,5,68951,0,0,0
6,68952,69665,2,6,69665,0,0,0
7,69666,69903,3,7,69903,0,0,0
8,69904,75378,4,8,75378,0,1,1
9,86200,91391,1,9,91391,0,2,0
10,91392,91935,2,10,91935,0,0,0
11,91936,92207,3,11,92207,0,0,0
12,92238,94622,4,12,94622,0,0,0
13,102383,107745,1,13,107745,0,2,0
14,107746,108527,2,14,108527,0,0,0
15,108528,108765,3,15,108765,0,0,0
16,108766,111690,4,16,111690,0,1,0
17,121302,126241,1,17,126241,0,3,0
18,126242,127023,2,18,127023,0,1,0
19,127024,127431,3,19,127431,0,0,0
20,127432,129472,4,20,129472,0,0,0
21,136408,141065,1,21,141065,0,1,0
22,141066,141813,2,22,141813,0,0,0
23,141814,143309,3,23,143309,0,0,0
24,143310,144772,4,24,144772,0,1,0
25,155068,160411,1,25,160411,0,3,0
26,160412,160955,2,26,160955,0,0,0
27,160956,161227,3,27,161227,0,0,0
28,161228,163472,4,28,163472,0,0,0
29,171719,176697,1,29,176697,0,2,0
30,176698,177513,2,30,177513,0,0,0
31,177514,177615,3,31,177615,0,0,0
32,177616,181594,4,32,181594,0,1,0
33,191372,196213,1,33,196213,0,2,0
34,196214,196825,2,34,196825,0,0,0
35,196826,197505,3,35,197505,0,0,0
36,197506,201008,4,36,201008,0,1,0
37,209856,214879,1,37,214879,0,1,1
38,214880,216035,2,38,216035,0,0,1
39,216036,216036,3,39,216036,0,0,0
40,216036,216097,4,40,219878,0,0,0
41,234415,239427,1,41,239427,0,3,0
42,239428,240107,2,42,240107,0,0,0
43,240108,240311,3,43,240311,0,0,0
44,240312,244970,4,44,244970,0,0,0
45,254068,258909,1,45,258909,0,2,0
46,258910,259690,2,46,259690,0,0,0
47,259691,259690,3,47,259691,0,0,0
48,259691,265472,4,48,265472,0,1,1
