phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,41114,45287,1,1,41114,0,2,0
2,45288,46103,2,2,46103,0,0,0
3,46104,48653,3,3,48653,0,0,0
4,48654,50490,4,4,50490,0,0,0
5,58264,63715,1,5,63715,0,3,0
6,63716,64701,2,6,64701,0,0,0
7,64702,67455,3,7,67455,0,0,0
8,67456,68374,4,8,68374,0,0,0
9,76716,82109,1,9,82109,0,1,0
10,82110,82755,2,10,82755,0,0,0
11,82756,84421,3,11,84421,0,0,0
12,84422,85476,4,12,85476,0,0,0
13,94467,100197,1,13,100197,0,3,0
14,100198,100911,2,14,100911,0,0,0
15,100912,101897,3,15,101897,0,1,0
16,101898,107474,4,16,107474,0,2,1
17,118806,124031,1,17,124031,0,2,0
18,124032,124711,2,18,124711,0,0,0
19,124712,125153,3,19,125153,0,0,0
20,125154,129506,4,20,129506,0,1,0
21,137176,142357,1,21,142357,0,1,0
22,142358,143275,2,22,143275,0,0,0
23,143276,143853,3,23,143853,0,0,0
24,143854,148376,4,24,148376,0,1,1
25,159464,164593,1,25,164593,0,2,0
26,164594,165307,2,26,165307,0,0,0
27,165308,166055,3,27,166055,0,0,0
28,166056,168674,4,28,168674,0,0,0
29,177008,182375,1,29,182375,0,2,0
30,182376,183021,2,30,183021,0,0,0
31,183022,184347,3,31,184347,0,0,0
32,184348,189550,4,32,189550,0,2,1
33,200440,205121,1,33,205121,0,1,0
34,205122,206005,2,34,206005,0,0,0
35,206006,206481,3,35,206481,0,0,0
36,206482,209644,4,36,209644,0,0,0
37,218986,223311,1,37,223311,0,2,0
38,223312,224195,2,38,224195,0,0,0
39,224196,224875,3,39,224875,0,0,0
40,224876,227188,4,40,227188,0,1,0
41,238176,243303,1,41,243303,0,2,0
42,243304,243949,2,42,243949,0,0,0
43,243950,245751,3,43,245751,0,0,0
44,245752,246976,4,44,246976,0,1,0
45,255995,261186,1,45,261186,0,2,0
46,261187,262003,2,46,262003,0,0,0
47,262004,262513,3,47,262513,0,0,0
48,262514,265710,4,48,265710,0,1,0
