phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,46093,50625,1,1,50625,0,4,0
2,50626,51237,2,2,51237,0,0,0
3,51238,51883,3,3,51883,0,0,0
4,51884,54196,4,4,54196,0,0,0
5,64545,69155,1,5,69155,0,2,0
6,69156,70005,2,6,70005,0,1,0
7,70006,70005,3,7,70005,0,0,0
8,70006,74392,4,8,74392,0,1,0
9,84698,89385,1,9,89385,0,2,0
10,89386,90371,2,10,90371,0,1,0
11,90372,90711,3,11,90711,0,0,0
12,90712,97274,4,12,97274,0,1,0
13,106487,111689,1,13,111689,0,2,0
14,111690,112471,2,14,112471,0,0,0
15,112472,112811,3,15,112811,0,1,0
16,112812,115464,4,16,115464,0,1,0
17,126673,131783,1,17,131783,0,1,0
18,131784,132395,2,18,132395,0,0,0
19,132396,133007,3,19,133007,0,0,0
20,133008,134742,4,20,134742,0,0,0
21,142088,146369,1,21,146369,0,2,0
22,146370,147185,2,22,147185,0,1,0
23,147186,147355,3,23,147355,0,0,0
24,147356,149838,4,24,149838,0,0,0
25,161408,166735,1,25,166735,0,2,0
26,166736,167619,2,26,167619,0,0,0
27,167620,168231,3,27,168231,0,0,0
28,168232,170068,4,28,170068,0,0,0
29,178859,183735,1,29,183735,0,2,0
30,183736,185095,2,30,185095,0,0,0
31,185096,185333,3,31,185333,0,0,0
32,185334,189278,4,32,189278,0,2,0
33,201648,206889,1,33,206889,0,1,0
34,206890,207705,2,34,207705,0,1,0
35,207706,208555,3,35,208555,0,0,0
36,208556,215050,4,36,215050,0,0,0
37,223804,228343,1,37,223804,0,0,0
38,228344,229499,2,38,229499,0,0,0
39,229500,229737,3,39,229737,0,0,0
40,229738,236674,4,40,236674,0,1,0
41,252566,257481,1,41,257481,0,1,0
42,257482,258126,2,42,258126,0,1,0
43,258127,258841,3,43,258841,0,1,0
44,258842,261732,4,44,261732,0,2,0
45,278506,284272,1,45,284272,0,1,0
46,284273,285055,2,46,285055,0,0,0
47,285056,285463,3,47,285463,0,0,0
48,285464,300798,4,48,300798,0,4,1
