phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,54406,59091,1,1,59091,0,1,0
2,59092,59907,2,2,59907,0,0,0
3,59908,60179,3,3,60179,0,0,0
4,60180,64294,4,4,64294,0,0,0
5,72157,77179,1,5,77179,0,1,0
6,77180,77995,2,6,77995,0,0,0
7,77996,78471,3,7,78471,0,0,0
8,78472,80716,4,8,80716,0,0,0
9,92510,97511,1,9,97511,0,2,0
10,97512,98123,2,10,98123,0,0,0
11,98124,99177,3,11,99177,0,0,0
12,99178,102578,4,12,102578,0,1,0
13,112764,119713,1,13,119713,0,0,0
14,119714,120665,2,14,120665,0,0,0
15,120666,129573,3,15,129573,0,2,1
16,129574,132362,4,16,132362,0,1,1
17,142560,147321,1,17,147321,0,1,0
18,147322,148001,2,18,148001,0,0,0
19,148002,150143,3,19,150143,0,0,0
20,150144,151436,4,20,151436,0,0,0
21,160111,164525,1,21,164525,0,2,0
22,164526,165375,2,22,165375,0,0,0
23,165376,165885,3,23,165885,0,0,0
24,165886,168776,4,24,168776,0,0,0
25,176194,181865,1,25,181865,0,1,0
26,181866,182613,2,26,182613,0,0,0
27,182614,183259,3,27,183259,0,0,0
28,183260,186048,4,28,186048,0,0,0
29,193944,199171,1,29,199171,0,0,0
30,199172,200089,2,30,200089,0,0,0
31,200090,200599,3,31,200599,0,0,0
32,200600,203898,4,32,203898,0,2,1
33,213401,217973,1,33,217973,0,2,0
34,217974,218687,2,34,218687,0,0,0
35,218688,218925,3,35,218925,0,0,0
36,218926,221680,4,36,221680,0,1,0
37,228847,233341,1,37,233341,0,1,1
38,233342,234565,2,38,234565,0,0,1
39,234566,234565,3,39,234566,0,0,1
40,234566,240686,4,40,240686,0,2,0
41,250697,256155,1,41,256155,0,0,0
42,256156,256902,2,42,256902,0,0,0
43,256903,257413,3,43,257413,0,0,0
44,257414,263330,4,44,263330,0,1,1
45,270488,275943,1,45,275943,0,1,0
46,275944,276963,2,46,276963,0,0,0
47,276964,284987,3,47,284987,0,0,0
48,284988,287300,4,48,287300,0,1,0
