phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,73433,78233,1,1,78233,0,2,0
2,78234,78845,2,2,78845,0,0,0
3,78846,79117,3,3,79117,0,0,0
4,79118,80410,4,4,80410,0,0,0
5,88114,92887,1,5,92887,0,3,0
6,92888,93635,2,6,93635,0,0,0
7,93636,93635,3,7,93636,0,0,0
8,93636,98056,4,8,98056,0,1,1
9,108568,113423,1,9,113423,0,2,0
10,113424,114137,2,10,114137,0,0,0
11,114138,114239,3,11,114239,0,0,0
12,114240,116756,4,12,116756,0,0,0
13,126019,131681,1,13,131681,0,1,0
14,131682,132395,2,14,132395,0,0,0
15,132396,133959,3,15,133959,0,1,0
16,133960,134946,4,16,134946,0,2,0
17,144504,150177,1,17,150177,0,4,0
18,150178,150993,2,18,150993,0,0,0
19,150994,151367,3,19,151367,0,0,0
20,151368,153408,4,20,153408,0,0,0
21,174100,178601,1,21,178601,0,1,0
22,178602,179485,2,22,179485,0,0,0
23,179486,179791,3,23,179791,0,0,0
24,179792,181594,4,24,181594,0,0,0
25,191416,196927,1,25,196927,0,2,0
26,196928,197641,2,26,197641,0,0,0
27,197642,198083,3,27,198083,0,0,0
28,198084,200226,4,28,200226,0,0,0
29,209102,214641,1,29,214641,0,2,0
30,214642,215763,2,30,215763,0,0,0
31,215764,216307,3,31,216307,0,0,0
32,216308,218212,4,32,218212,0,2,0
33,230500,235959,1,33,235959,0,3,0
34,235960,236741,2,34,236741,0,0,0
35,236742,236911,3,35,236911,0,0,0
36,236912,238816,4,36,238816,0,0,0
37,260286,265165,1,37,265165,0,3,0
38,265166,266117,2,38,266117,0,0,0
39,266118,266219,3,39,266219,0,0,0
40,266220,267954,4,40,267954,0,0,0
41,299257,304707,1,41,304707,0,1,0
42,304708,305285,2,42,305285,0,1,0
43,305286,305896,3,43,305896,0,0,0
44,305897,307564,4,44,307564,0,0,0
45,317543,322795,1,45,322795,0,1,0
46,322796,323679,2,46,323679,0,0,0
47,323680,324359,3,47,324359,0,0,0
48,324360,325788,4,48,325788,0,1,0
