phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,62574,66979,1,1,66979,0,1,0
2,66980,67626,2,2,67626,0,0,0
3,67626,67795,3,3,67795,0,0,0
4,67796,69394,4,4,69394,0,0,0
5,79457,84625,1,5,84625,0,1,0
6,84626,85340,2,6,85340,0,0,0
7,85340,85441,3,7,85441,0,0,0
8,85442,87822,4,8,87822,0,0,0
9,105917,110023,1,9,110023,0,2,0
10,110024,110840,2,10,110840,0,0,0
11,110840,111179,3,11,111179,0,0,0
12,111180,115022,4,12,115022,0,0,0
13,124035,129403,1,13,129403,0,2,0
14,129404,130254,2,14,130254,0,0,0
15,130254,130422,3,15,130422,0,0,0
16,130423,132940,4,16,132940,0,0,0
17,151628,157895,1,17,157895,0,3,0
18,157896,158643,2,18,158643,0,0,0
19,158644,158949,3,19,158949,0,0,0
20,158950,160990,4,20,160990,0,0,0
21,169914,174827,1,21,174827,0,2,0
22,174828,175813,2,22,175813,0,0,0
23,175814,176493,3,23,176493,0,0,0
24,176494,179418,4,24,179418,0,0,0
25,191302,196077,1,25,196077,0,2,0
26,196078,196893,2,26,196893,0,0,0
27,196894,197437,3,27,197437,0,0,0
28,197438,199444,4,28,199444,0,0,0
29,208152,212975,1,29,212975,0,2,0
30,212976,213859,2,30,213859,0,1,0
31,213860,214301,3,31,214301,0,0,0
32,214302,216002,4,32,216002,0,0,0
33,227004,232151,1,33,232151,0,2,0
34,232152,233035,2,34,233035,0,1,0
35,233036,233103,3,35,233103,0,0,0
36,233104,235790,4,36,235790,0,0,0
37,244756,250511,1,37,250511,0,2,0
38,250512,251463,2,38,251463,0,0,0
39,251464,251497,3,39,251497,0,0,0
40,251498,281112,4,40,281112,0,7,1
41,295673,300899,1,41,300899,0,2,0
42,300900,301477,2,42,301477,0,0,0
43,301478,301816,3,43,301816,0,0,0
44,301817,305932,4,44,305932,0,0,0
45,315025,320584,1,45,320584,0,3,0
46,320585,321536,2,46,321536,0,0,0
47,321537,321605,3,47,321605,0,0,0
48,321606,343434,4,48,343434,0,2,1
