phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,99303,104481,"1",0,104481,0,"2","0","0","0","",
1,104482,105467,"2",1,105467,0,"0","0","0","0","",
2,105468,109309,"3",2,109309,0,"1","0","0","0","",
3,109310,110126,"4",3,110126,0,"0","0","0","0","",
4,121316,126615,"1",4,126615,0,"1","0","0","0","",
5,126616,127771,"2",5,127771,0,"0","0","0","0","",
6,127772,144771,"3",6,144771,0,"7","0","0","0","experimenter vocalizes",
7,144772,159936,"4",7,159936,0,"6","0","0","1","experimenter facilitates end trial",
8,174836,180233,"1",8,180233,0,"1","0","0","0","",
9,180234,181083,"2",9,181083,0,"0","0","0","0","",
10,181084,183735,"3",10,183735,0,"1","0","0","0","",
11,183736,184586,"4",11,184586,0,"1","0","0","0","",
12,194790,199919,"1",12,199919,0,"2","0","0","0","",
13,199920,201245,"2",13,201245,0,"0","0","0","0","",
14,201246,204203,"3",14,204203,0,"0","0","0","0","",
15,204204,204850,"4",15,204850,0,"0","0","0","0","",
16,214710,219639,"1",16,219639,0,"2","0","0","0","",
17,219640,220625,"2",17,220625,0,"0","0","0","0","",
18,220626,225589,"3",18,225589,0,"2","0","0","0","",
19,225590,249628,"4",19,249628,0,"7","0","0","1","experimenter facilitates end trial",
20,260522,265981,"1",20,265981,0,"1","0","0","0","",
21,265982,266831,"2",21,266831,0,"0","0","0","0","",
22,266832,291108,"3",22,291108,0,"6","0","0","0","touches objects excessively",
23,291108,301580,"4",23,301580,0,"3","0","0","0","",
24,312140,318136,"1",24,318136,0,"3","0","0","0","",
25,318137,319021,"2",25,319021,0,"0","0","0","0","",
26,319022,320483,"3",26,320483,0,"0","0","0","0","",
27,320484,322082,"4",27,322082,0,"1","0","0","0","",
28,332060,338095,"1",28,338095,0,"2","0","0","0","",
29,338096,339115,"2",29,339115,0,"0","0","0","0","",
30,339116,343127,"3",30,343127,0,"0","0","0","0","",
31,343128,361420,"4",31,361420,0,"3","0","0","0","",
32,373735,379507,"1",32,379507,0,"2","0","0","0","",
33,379508,380663,"2",33,380663,0,"0","0","0","0","",
34,380664,384812,"3",34,384812,0,"1","0","0","0","",
35,384812,386580,"4",35,386580,0,"1","0","0","0","",
36,398393,403749,"1",36,403749,0,"1","0","0","0","",
37,403750,404871,"2",37,404871,0,"0","0","0","0","",
38,404872,405584,"3",38,405584,0,"0","0","0","0","",
39,405585,407388,"4",39,407388,0,"0","0","0","0","",
40,419047,424557,"1",40,424557,0,"1","0","0","0","",
41,424558,425509,"2",41,425509,0,"0","0","0","0","",
42,425510,426155,"3",42,426155,0,"0","0","0","0","",
43,426156,430406,"4",43,430406,0,"1","0","0","0","",
44,441536,446520,"1",44,446520,0,"2","0","0","0","",
45,446521,447813,"2",45,447813,0,"0","0","0","0","",
46,447814,448527,"3",46,448527,0,"0","0","0","0","",
47,448528,452200,"4",47,452200,0,"0","0","0","0","",
