phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,88079,92513,"1",0,92513,0,"2","0","0","0","",
1,92514,93601,"2",1,93601,0,"0","0","0","0","",
2,93602,96253,"3",2,96253,0,"1","0","0","0","",
3,96254,97546,"4",3,97546,0,"2","0","0","0","",
4,107261,113015,"1",4,113015,0,"2","0","0","0","",
5,113016,113865,"2",5,113865,0,"0","0","0","0","",
6,113866,116619,"3",6,116619,0,"0","0","0","0","",
7,116620,117708,"4",7,117708,0,"0","0","0","0","",
8,128349,133619,"1",8,133586,0,"3","0","0","0","",
9,133620,134435,"2",9,134435,0,"0","0","0","0","",
10,134436,136713,"3",10,136713,0,"0","0","0","0","",
11,136714,137802,"4",11,137802,0,"0","0","0","0","",
12,149436,155413,"1",12,155413,0,"3","0","0","0","",
13,155414,156399,"2",13,156399,0,"0","0","0","0","",
14,156400,159051,"3",14,159051,0,"0","0","0","0","",
15,159052,160242,"4",15,160242,0,"0","0","0","0","",
16,171324,176969,"1",16,176969,0,"2","0","0","0","",
17,176970,177819,"2",17,177819,0,"0","0","0","0","",
18,177820,180097,"3",18,180097,0,"0","0","0","0","",
19,180098,181458,"4",19,181458,0,"0","0","0","0","",
20,192012,197947,"1",20,197947,0,"2","0","0","0","",
21,197948,199069,"2",21,199069,0,"0","0","0","0","",
22,199070,201313,"3",22,201313,0,"1","0","0","0","",
23,201314,202368,"4",23,202368,0,"0","0","0","0","",
24,214668,220149,"1",24,220149,0,"1","0","0","0","",
25,220150,220965,"2",25,220965,0,"0","0","0","0","",
26,220966,223583,"3",26,223583,0,"0","0","0","0","",
27,223584,224604,"4",27,224604,0,"1","0","0","0","",
28,236624,242487,"1",28,242487,0,"1","0","0","0","",
29,242488,243337,"2",29,243337,0,"0","0","0","0","",
30,243338,246091,"3",30,246091,0,"0","0","0","0","",
31,246092,247384,"4",31,247384,0,"1","0","0","0","",
32,259046,264315,"1",32,264315,0,"2","0","0","0","",
33,264316,265233,"2",33,265233,0,"0","0","0","0","",
34,265234,267647,"3",34,267647,0,"0","0","0","0","",
35,267648,268974,"4",35,268974,0,"0","0","0","0","",
36,281335,286789,"1",36,286789,0,"1","0","0","0","",
37,286790,287877,"2",37,287877,0,"0","0","0","0","",
38,287878,290155,"3",38,290155,0,"0","0","0","0","",
39,290156,292910,"4",39,292910,0,"1","0","0","0","",
40,306560,312085,"1",40,312085,0,"2","0","0","0","",
41,312086,312901,"2",41,312901,0,"0","0","0","0","",
42,312902,315486,"3",42,315486,0,"0","0","0","0","",
43,315486,316574,"4",43,316574,0,"1","0","0","0","",
44,326980,331839,"1",44,331839,0,"1","0","0","0","",
45,331840,332621,"2",45,332621,0,"0","0","0","0","",
46,332622,335205,"3",46,335205,0,"0","0","0","0","",
47,335206,336532,"4",47,336532,0,"0","0","0","0","",
