phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,120551,126003,"1",0,126003,0,"2","0","0","0","",
1,126004,126887,"2",1,126887,0,"1","0","0","0","",
2,126888,130525,"3",2,130525,0,"0","0","0","0","",
3,130526,131410,"4",3,131410,0,"0","0","0","0","",
4,142643,148239,"1",4,148239,0,"2","0","0","0","",
5,148240,149123,"2",5,149123,0,"0","0","0","0","",
6,149124,153101,"3",6,153101,0,"0","0","0","0","",
7,153102,154088,"4",7,154088,0,"1","0","0","0","",
8,165524,171053,"1",8,171053,0,"2","0","0","0","",
9,171054,171971,"2",9,171971,0,"0","0","0","0","",
10,171972,172719,"3",10,172719,0,"0","0","0","0","",
11,172720,178976,"4",11,178976,0,"0","0","0","0","",
12,190758,196757,"1",12,196757,0,"2","0","0","0","",
13,196758,197743,"2",13,197743,0,"0","0","0","0","",
14,197744,198525,"3",14,198525,0,"0","0","0","0","",
15,198526,200396,"4",15,200396,0,"0","0","0","1","child puts glasses in cup",
16,216283,221849,"1",16,221849,0,"2","0","0","0","",
17,221850,222665,"2",17,222665,0,"0","0","0","0","",
18,222666,226269,"3",18,226269,0,"0","0","0","0","",
19,226270,228650,"4",19,228650,0,"1","0","0","0","",
20,240640,246227,"1",20,246227,0,"2","0","0","0","",
21,246228,247349,"2",21,247349,0,"1","0","0","0","",
22,247350,250919,"3",22,250919,0,"0","0","0","0","",
23,250920,251872,"4",23,251872,0,"0","0","0","0","",
24,265032,270843,"1",24,270843,0,"1","0","0","0","",
25,270844,271863,"2",25,271863,0,"1","0","0","0","",
26,271864,272747,"3",26,272747,0,"0","0","0","0","",
27,272748,277134,"4",27,277134,0,"0","0","0","0","",
28,289590,295527,"1",28,295527,0,"2","0","0","0","",
29,295528,296411,"2",29,296411,0,"0","0","0","0","",
30,296412,296853,"3",30,296853,0,"0","0","0","0","",
31,296854,305082,"4",31,305082,0,"1","0","0","0","",
32,316617,322557,"1",32,322557,0,"2","0","0","0","",
33,322558,323576,"2",33,323576,0,"0","0","0","0","",
34,323577,327792,"3",34,327792,0,"0","0","0","0","",
35,327793,328474,"4",35,328474,0,"0","0","0","0","",
36,339740,345235,"1",36,345235,0,"2","0","0","0","",
37,345236,346935,"2",37,346935,0,"0","0","0","0","",
38,346936,347479,"3",38,347479,0,"0","0","0","0","",
39,347480,368798,"4",39,368798,0,"1","0","0","1","child distracted by car",
40,385853,391373,"1",40,391373,0,"1","0","0","0","",
41,391374,392325,"2",41,392325,0,"0","0","0","0","",
42,392666,393344,"3",42,393344,0,"0","0","0","0","",
43,393345,397460,"4",43,397460,0,"1","0","0","0","",
44,411177,416159,"1",44,416159,0,"1","0","0","0","",
45,416160,417349,"2",45,417349,0,"0","0","0","0","",
46,417350,420511,"3",46,420511,0,"1","0","0","0","",
47,420512,422280,"4",47,422280,0,"0","0","0","0","",
