phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,43940,50013,"1",0,50013,0,"2","","",
1,50014,50931,"2",1,50931,0,"0","","",
2,50932,51203,"3",2,51203,0,"0","","",
3,51204,54434,"4",3,54434,0,"0","","",
4,63726,69631,"1",4,69631,0,"1","","",
5,69632,70617,"2",5,70617,0,"0","","",
6,70618,70677,"3",6,71263,0,"0","","",
7,71264,73202,"4",7,73202,0,"0","","",
8,84580,89623,"1",8,89623,0,"2","","",
9,89624,90405,"2",9,90405,0,"0","","",
10,90406,90881,"3",10,90881,0,"0","","",
11,90882,93296,"4",11,93296,0,"0","","",
12,102264,107677,"1",12,107677,0,"3","","",
13,107678,108867,"2",13,108867,0,"0","","",
14,108868,109241,"3",14,109241,0,"0","","",
15,109242,114075,"4",15,114075,0,"0","","",
16,126722,132667,"1",,,,,,,
17,132668,133687,"2",,,,,,,
18,133688,134095,"3",,,,,,,
19,134096,136170,"4",,,,,,,
20,146142,151843,"1",,,,,,,
21,151844,152897,"2",,,,,,,
22,152898,153441,"3",,,,,,,
23,153442,156128,"4",,,,,,,
24,169699,176697,"1",,,,,,,
25,176698,177445,"2",,,,,,,
26,177446,178023,"3",,,,,,,
27,178024,180132,"4",,,,,,,
28,190319,195533,"1",,,,,,,
29,195534,196519,"2",,,,,,,
30,196520,196859,"3",,,,,,,
31,196860,199682,"4",,,,,,,
32,214543,220217,"1",,,,,,,
33,220218,220965,"2",,,,,,,
34,220966,221475,"3",,,,,,,
35,221476,223958,"4",,,,,,,
36,234696,240923,"1",,,,,,,
37,240924,241909,"2",,,,,,,
38,241910,242011,"3",,,,,,,
39,242012,246602,"4",,,,,,,
40,259220,264927,"1",,,,,,,
41,264928,265743,"2",,,,,,,
42,265744,266287,"3",,,,,,,
43,266288,268600,"4",,,,,,,
44,281076,286653,"1",,,,,,,
45,286654,287775,"2",,,,,,,
46,287776,288183,"3",,,,,,,
47,288184,292808,"4",,,,,,,
