phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,48070,54229,"1",0,54229,0,"1","","",
1,54230,55011,"2",1,55011,0,"0","","",
2,55012,55555,"3",2,55555,0,"0","","",
3,55556,58140,"4",3,58140,0,"0","","",
4,79801,85543,"1",4,85543,0,"1","","",
5,85544,86529,"2",5,86529,0,"0","","",
6,86530,87107,"3",6,87107,0,"0","","",
7,87108,89386,"4",7,89386,0,"0","","",
8,101356,107337,"1",8,107337,0,"2","","",
9,107338,108187,"2",9,108187,0,"0","","",
10,108188,108425,"3",10,108425,0,"0","","",
11,108426,111826,"4",11,111826,0,"0","","",
12,122511,128995,"1",12,128995,0,"2","","",
13,128996,130015,"2",13,130015,0,"0","","",
14,130016,130049,"3",14,130049,0,"0","","",
15,130050,134708,"4",15,134708,0,"1","","",
16,145200,151673,"1",,,,,,,
17,151674,152523,"2",,,,,,,
18,152524,152931,"3",,,,,,,
19,152932,155040,"4",,,,,,,
20,164986,170271,"1",,,,,,,
21,170272,171291,"2",,,,,,,
22,171292,171461,"3",,,,,,,
23,171462,174182,"4",,,,,,,
24,190744,196995,"1",,,,,,,
25,196996,197879,"2",,,,,,,
26,197880,198049,"3",,,,,,,
27,198050,201110,"4",,,,,,,
28,211700,218517,"1",,,,,,,
29,218518,219605,"2",,,,,,,
30,219606,220013,"3",,,,,,,
31,220014,229534,"4",,,,,,,
32,241796,247452,"1",,,,,,,
33,247452,248267,"2",,,,,,,
34,248268,249321,"3",,,,,,,
35,249322,251328,"4",,,,,,,
36,262450,267987,"1",,,,,,,
37,267988,268904,"2",,,,,,,
38,268905,270536,"3",,,,,,,
39,270537,274992,"4",,,,,,,
40,291880,297635,"1",,,,,,,
41,297636,298315,"2",,,,,,,
42,298316,298824,"3",,,,,,,
43,298825,301172,"4",,,,,,,
44,312701,319632,"1",,,,,,,
45,319633,320653,"2",,,,,,,
46,320654,321027,"3",,,,,,,
47,321028,323884,"4",,,,,,,
