phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,27806,31756,"1",0,27806,31755,"1",
1,31756,32604,"2",1,31756,32603,"0",
2,32605,34067,"3",2,32604,34066,"0",
3,34068,34714,"4",3,34067,34714,"0",
4,42854,47192,"1",4,42854,47191,"1",
5,47192,48143,"2",5,47192,48142,"0",
6,48144,52053,"3",6,48143,52052,"0",
7,52054,53634,"4",7,52053,53634,"2",
8,60639,64736,"1",8,60639,64735,"2",
9,64736,65551,"2",9,64736,65550,"0",
10,65552,67625,"3",10,65551,67624,"0",
11,67626,68374,"4",11,67625,68374,"0",
12,75654,80750,"1",12,75654,80749,"1",
13,80750,81633,"2",13,80750,81632,"0",
14,81634,83231,"3",14,81633,83230,"0",
15,83232,84558,"4",15,83231,84558,"0",
16,92170,96628,"1",,,,,
17,96628,97239,"2",,,,,
18,97240,99212,"3",,,,,
19,99212,100157,"4",,,,,
20,108487,113090,"1",,,,,
21,113091,113967,"2",,,,,
22,113968,118863,"3",,,,,
23,118864,120044,"4",,,,,
24,130542,134878,"1",,,,,
25,134878,135761,"2",,,,,
26,135762,137767,"3",,,,,
27,137768,138346,"4",,,,,
28,148326,152422,"1",,,,,
29,152422,153305,"2",,,,,
30,153306,155447,"3",,,,,
31,155448,156264,"4",,,,,
32,165176,169388,"1",,,,,
33,169388,170204,"2",,,,,
34,170204,172243,"3",,,,,
35,172244,172924,"4",,,,,
36,182827,187102,"1",,,,,
37,187102,188121,"2",,,,,
38,188122,191657,"3",,,,,
39,191658,193154,"4",,,,,
40,201912,206414,"1",,,,,
41,206414,207297,"2",,,,,
42,207298,209371,"3",,,,,
43,209372,210120,"4",,,,,
44,219698,223901,"1",,,,,
45,223902,224671,"2",,,,,
46,224672,226971,"3",,,,,
47,226972,228140,"4",,,,,
