phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,48706,53243,"1",0,53243,0,"1","","",
1,53244,53855,"2",1,53855,0,"0","","",
2,53856,54433,"3",2,54433,0,"0","","",
3,54434,56406,"4",3,56406,0,"0","","",
4,65256,70787,"1",4,70787,0,"1","","",
5,70788,71705,"2",5,71705,0,"0","","",
6,71706,71875,"3",6,71875,0,"0","","",
7,71876,74222,"4",7,74222,0,"0","","",
8,83074,88365,"1",8,88365,0,"3","","",
9,88366,89181,"2",9,89181,0,"0","","",
10,89182,89589,"3",10,89589,0,"0","","",
11,89590,91222,"4",11,91222,0,"0","","",
12,101359,106623,"1",12,106623,0,"2","","",
13,106624,107609,"2",13,107609,0,"0","","",
14,107610,108085,"3",14,108085,0,"1","","",
15,108086,110602,"4",15,110602,0,"2","","",
16,119144,123657,"1",,,,,,,
17,123658,124371,"2",,,,,,,
18,124372,124711,"3",,,,,,,
19,124712,126582,"4",,,,,,,
20,136327,141371,"1",,,,,,,
21,141372,142289,"2",,,,,,,
22,142290,143071,"3",,,,,,,
23,143072,144772,"4",,,,,,,
24,159416,164729,"1",,,,,,,
25,164730,165579,"2",,,,,,,
26,165580,165647,"3",,,,,,,
27,165648,169558,"4",,,,,,,
28,178803,184347,"1",,,,,,,
29,184348,185401,"2",,,,,,,
30,185402,185639,"3",,,,,,,
31,185640,203490,"4",,,,,,,
32,213338,217633,"1",,,,,,,
33,217634,218381,"2",,,,,,,
34,218382,218755,"3",,,,,,,
35,218756,220898,"4",,,,,,,
36,229954,234735,"1",,,,,,,
37,234736,235653,"2",,,,,,,
38,235654,235687,"3",,,,,,,
39,235688,237898,"4",,,,,,,
40,247839,253163,"1",,,,,,,
41,253164,254285,"2",,,,,,,
42,254286,254591,"3",,,,,,,
43,254592,262548,"4",,,,,,,
44,272063,277200,"1",,,,,,,
45,277201,278493,"2",,,,,,,
46,278494,281859,"3",,,,,,,
47,281860,290909,"4",,,,,,,
