phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,50751,56099,"1",0,56099,0,"2","","",
1,56100,56813,"2",1,56813,0,"0","","",
2,56814,57493,"3",2,57493,0,"0","","",
3,57494,60146,"4",3,60146,0,"1","","",
4,68335,75445,"1",4,75445,0,"3","","",
5,75446,76261,"2",5,76261,0,"1","","",
6,76262,77859,"3",6,77859,0,"0","","",
7,77860,79730,"4",7,79730,0,"1","","",
8,98532,103291,"1",8,103291,0,"1","","",
9,103292,104039,"2",9,104039,0,"1","","",
10,104040,104957,"3",10,104957,0,"1","","",
11,104958,107134,"4",11,107134,0,"1","","",
12,117118,122188,"1",12,122188,0,"2","","",
13,122189,123487,"2",13,123487,0,"1","","",
14,123488,124813,"3",14,124813,0,"1","","",
15,124814,127942,"4",15,127942,0,"0","","",
16,139440,143543,"1",,,,,,,
17,143544,144397,"2",,,,,,,
18,144398,144703,"3",,,,,,,
19,144704,146710,"4",,,,,,,
20,155588,160003,"1",,,,,,,
21,160004,160921,"2",,,,,,,
22,160922,161227,"3",,,,,,,
23,161228,163957,"4",,,,,,,
24,178946,183497,"1",,,,,,,
25,183498,184279,"2",,,,,,,
26,184280,184619,"3",,,,,,,
27,184620,187808,"4",,,,,,,
28,196363,202129,"1",,,,,,,
29,202130,202775,"2",,,,,,,
30,202776,203931,"3",,,,,,,
31,203932,214302,"4",,,,,,,
32,226660,231437,"1",,,,,,,
33,231438,232219,"2",,,,,,,
34,232220,232627,"3",,,,,,,
35,232628,238544,"4",,,,,,,
36,249048,253673,"1",,,,,,,
37,253674,254455,"2",,,,,,,
38,254456,255645,"3",,,,,,,
39,255646,257108,"4",,,,,,,
40,268801,274175,"1",,,,,,,
41,274176,274888,"2",,,,,,,
42,274889,276283,"3",,,,,,,
43,276284,284546,"4",,,,,,,
44,293193,298315,"1",,,,,,,
45,298316,299301,"2",,,,,,,
46,299302,299607,"3",,,,,,,
47,299608,326085,"4",,,,,,,
