phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,54735,59363,"1",0,59363,0,"1","","",
1,59364,59907,"2",1,59907,0,"0","","",
2,59908,60553,"3",2,60553,0,"0","","",
3,60554,62662,"4",3,62662,0,"0","","",
4,70984,75887,"1",4,75887,0,"1","","",
5,75888,76737,"2",5,76737,0,"0","","",
6,76738,77553,"3",6,77553,0,"0","","",
7,77554,81328,"4",7,81328,0,"1","","",
8,90204,94689,"1",8,94689,0,"1","","",
9,94690,95267,"2",9,95267,0,"0","","",
10,95268,95607,"3",10,95607,0,"0","","",
11,95608,99722,"4",11,99722,0,"1","","",
12,107321,112471,"1",12,112471,0,"2","","",
13,112472,113287,"2",13,113287,0,"0","","",
14,113288,113661,"3",14,113661,0,"0","","",
15,113662,117502,"4",15,117502,0,"1","","",
16,125639,130321,"1",,,,,,,
17,130322,131103,"2",,,,,,,
18,131104,131443,"3",,,,,,,
19,131444,134028,"4",,,,,,,
20,141455,145553,"1",,,,,,,
21,145554,146539,"2",,,,,,,
22,146540,146777,"3",,,,,,,
23,146778,152110,"4",,,,,,,
24,163043,167415,"1",,,,,,,
25,167416,168095,"2",,,,,,,
26,168096,168571,"3",,,,,,,
27,168572,171326,"4",,,,,,,
28,179860,183763,"1",,,,,,,
29,183764,184721,"2",,,,,,,
30,184722,185095,"3",,,,,,,
31,185096,188088,"4",,,,,,,
32,197311,201279,"1",,,,,,,
33,201280,202163,"2",,,,,,,
34,202164,202469,"3",,,,,,,
35,202470,213452,"4",,,,,,,
36,221034,226337,"1",,,,,,,
37,226338,227139,"2",,,,,,,
38,227140,227595,"3",,,,,,,
39,227596,241536,"4",,,,,,,
40,253400,257447,"1",,,,,,,
41,257448,258297,"2",,,,,,,
42,258298,258399,"3",,,,,,,
43,258400,260916,"4",,,,,,,
44,269750,274480,"1",,,,,,,
45,274481,275331,"2",,,,,,,
46,275332,276045,"3",,,,,,,
47,276046,277916,"4",,,,,,,
