phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,45123,48824,"1",0,45123,48823,"2",
1,48824,49571,"2",1,48824,49570,"0",
2,49572,50115,"3",2,49571,50115,"0",
3,50116,51714,"4",3,50116,51714,"0",
4,61506,66232,"1",4,61506,66231,"1",
5,66232,67251,"2",5,66232,67250,"0",
6,67252,68212,"3",6,67251,68211,"0",
7,68213,70822,"4",7,68212,70821,"1",
8,79591,83794,"1",8,79591,83793,"2",
9,83795,84932,"2",9,83794,84931,"0",
10,84932,85068,"3",10,84932,85067,"0",
11,85068,89990,"4",11,85068,89989,"0",
12,99077,103648,"1",12,99077,103647,"1",
13,103648,104949,"2",13,103648,104948,"0",
14,104950,105569,"3",14,104949,105568,"0",
15,105570,108698,"4",15,105569,108698,"0",
16,119097,123522,"1",,,,,
17,123522,124535,"2",,,,,
18,124536,124575,"3",,,,,
19,124576,127126,"4",,,,,
20,136548,140556,"1",,,,,
21,140556,141719,"2",,,,,
22,141720,141779,"3",,,,,
23,141780,144296,"4",,,,,
24,154832,158848,"1",,,,,
25,158848,160003,"2",,,,,
26,160004,160905,"3",,,,,
27,160906,163030,"4",,,,,
28,172316,177174,"1",,,,,
29,177174,178159,"2",,,,,
30,178160,181593,"3",,,,,
31,181594,207073,"4",,,,,
32,220999,225488,"1",,,,,
33,225488,226405,"2",,,,,
34,226406,227460,"3",,,,,
35,227460,229704,"4",,,,,
36,239551,243882,"1",,,,,
37,243882,244822,"2",,,,,
38,244823,244901,"3",,,,,
39,244902,247316,"4",,,,,
40,256668,261338,"1",,,,,
41,261339,262106,"2",,,,,
42,262107,262513,"3",,,,,
43,262514,269688,"4",,,,,
44,278823,283152,"1",,,,,
45,283152,284342,"2",,,,,
46,284342,285629,"3",,,,,
47,285630,299676,"4",,,,,
