phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,46971,52801,"1",0,52801,0,"3","0","",
1,52802,53617,"2",,,,,,,
2,53618,53923,"3",,,,,,,
3,53924,56406,"4",,,,,,,
4,64456,72623,"1",,,,,,,
5,72624,73405,"2",,,,,,,
6,73406,75921,"3",,,,,,,
7,75922,78438,"4",,,,,,,
8,89447,94179,"1",,,,,,,
9,94180,94927,"2",,,,,,,
10,94928,95539,"3",,,,,,,
11,95540,97478,"4",,,,,,,
12,106297,112879,"1",,,,,,,
13,112880,114103,"2",,,,,,,
14,114104,114171,"3",,,,,,,
15,114172,116586,"4",,,,,,,
16,126718,131749,"1",,,,,,,
17,131750,132361,"2",,,,,,,
18,132362,132701,"3",,,,,,,
19,132702,134844,"4",,,,,,,
20,142734,147671,"1",,,,,,,
21,147672,148681,"2",,,,,,,
22,148682,148987,"3",,,,,,,
23,148988,151989,"4",,,,,,,
24,161452,165987,"1",,,,,,,
25,165988,166769,"2",,,,,,,
26,166770,166973,"3",,,,,,,
27,166974,169320,"4",,,,,,,
28,177635,182137,"1",,,,,,,
29,182138,183089,"2",,,,,,,
30,183090,183395,"3",,,,,,,
31,183396,185810,"4",,,,,,,
32,197322,201721,"1",,,,,,,
33,201722,202333,"2",,,,,,,
34,202334,202775,"3",,,,,,,
35,202776,204782,"4",,,,,,,
36,212804,217599,"1",,,,,,,
37,217600,218687,"2",,,,,,,
38,218688,218959,"3",,,,,,,
39,218960,221612,"4",,,,,,,
40,232390,237194,"1",,,,,,,
41,237195,237931,"2",,,,,,,
42,237932,238305,"3",,,,,,,
43,238306,240244,"4",,,,,,,
44,248840,253503,"1",,,,,,,
45,253504,254353,"2",,,,,,,
46,254354,254523,"3",,,,,,,
47,254524,257006,"4",,,,,,,
