phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,51794,57493,"1",0,57493,0,"2","","",
1,57494,58105,"2",1,58105,0,"0","","",
2,58106,58751,"3",2,58751,0,"0","","",
3,58752,61914,"4",3,61914,0,"0","","",
4,72682,78777,"1",4,78777,0,"2","","",
5,78778,79831,"2",5,79831,0,"0","","",
6,79832,79899,"3",6,79899,0,"0","","",
7,79900,83946,"4",7,83946,0,"0","","",
8,97039,102645,"1",8,102645,0,"1","","",
9,102646,103325,"2",9,103325,0,"0","","",
10,103326,103699,"3",10,103699,0,"0","","",
11,103700,106420,"4",11,106420,0,"1","","",
12,116959,124303,"1",12,124303,0,"1","","",
13,124304,125187,"2",13,125187,0,"1","","",
14,125188,125595,"3",14,125595,0,"0","","",
15,125596,131546,"4",15,131546,0,"0","","",
16,145554,150891,"1",,,,,,,
17,150892,151571,"2",,,,,,,
18,151572,151843,"3",,,,,,,
19,151844,155040,"4",,,,,,,
20,170880,176289,"1",,,,,,,
21,176290,177309,"2",,,,,,,
22,177310,177343,"3",,,,,,,
23,177344,183634,"4",,,,,,,
24,197172,202027,"1",,,,,,,
25,202028,202639,"2",,,,,,,
26,202640,204407,"3",,,,,,,
27,204408,207570,"4",,,,,,,
28,215724,220729,"1",,,,,,,
29,220730,221543,"2",,,,,,,
30,221544,221951,"3",,,,,,,
31,221952,226746,"4",,,,,,,
32,238180,243235,"1",,,,,,,
33,243236,244017,"2",,,,,,,
34,244018,244391,"3",,,,,,,
35,244392,247622,"4",,,,,,,
36,256866,262037,"1",,,,,,,
37,262038,262955,"2",,,,,,,
38,262956,263227,"3",,,,,,,
39,263228,270130,"4",,,,,,,
40,281557,286619,"1",,,,,,,
41,286620,287299,"2",,,,,,,
42,287300,287775,"3",,,,,,,
43,287776,290768,"4",,,,,,,
44,302077,307528,"1",,,,,,,
45,307529,308447,"2",,,,,,,
46,308448,308549,"3",,,,,,,
47,308550,312120,"4",,,,,,,
